Aug. 25, 2020   13:41:48
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_600_15.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

Segment 1:
-0.490, 6.5807e-7
-0.480, 7.5959e-7
-0.470, 8.2289e-7
-0.460, 8.8930e-7
-0.450, 9.4424e-7
-0.440, 1.0231e-6
-0.430, 1.0842e-6
-0.420, 1.1614e-6
-0.410, 1.2340e-6
-0.400, 1.3126e-6
-0.390, 1.3809e-6
-0.380, 1.4604e-6
-0.370, 1.5521e-6
-0.360, 1.6264e-6
-0.350, 1.7031e-6
-0.340, 1.7468e-6
-0.330, 1.8197e-6
-0.320, 1.8880e-6
-0.310, 1.9250e-6
-0.300, 1.9735e-6
-0.290, 2.0425e-6
-0.280, 2.0906e-6
-0.270, 2.1283e-6
-0.260, 2.1746e-6
-0.250, 2.2066e-6
-0.240, 2.2544e-6
-0.230, 2.2683e-6
-0.220, 2.3024e-6
-0.210, 2.3576e-6
-0.200, 2.3598e-6
-0.190, 2.3793e-6
-0.180, 2.3820e-6
-0.170, 2.4135e-6
-0.160, 2.4233e-6
-0.150, 2.4073e-6
-0.140, 2.3939e-6
-0.130, 2.3896e-6
-0.120, 2.3609e-6
-0.110, 2.3657e-6
-0.100, 2.3688e-6
-0.090, 2.3368e-6
-0.080, 2.3457e-6
-0.070, 2.3538e-6
-0.060, 2.3359e-6
-0.050, 2.3242e-6
-0.040, 2.2910e-6
-0.030, 2.3246e-6
-0.020, 2.3163e-6
-0.010, 2.2855e-6
-0.000, 2.2642e-6
0.010, 2.2972e-6
0.020, 2.2919e-6
0.030, 2.2790e-6
0.040, 2.2742e-6
0.050, 2.2802e-6
0.060, 2.3039e-6
0.070, 2.2790e-6
0.080, 2.2730e-6
0.090, 2.2862e-6
0.100, 2.2683e-6
0.110, 2.2590e-6
0.120, 2.2922e-6
0.130, 2.2704e-6
0.140, 2.2671e-6
0.150, 2.2513e-6
0.160, 2.2616e-6
0.170, 2.2929e-6
0.180, 2.2914e-6
0.190, 2.2881e-6
0.200, 2.3010e-6
0.210, 2.3139e-6
0.220, 2.2905e-6
0.230, 2.3172e-6
0.240, 2.3177e-6
0.250, 2.3120e-6
0.260, 2.3507e-6
0.270, 2.3416e-6
0.280, 2.3349e-6
0.290, 2.3258e-6
0.300, 2.3595e-6
0.310, 2.3540e-6
0.320, 2.3915e-6
0.330, 2.3925e-6
0.340, 2.3887e-6
0.350, 2.4037e-6
0.360, 2.3913e-6
0.370, 2.4245e-6
0.380, 2.4128e-6
0.390, 2.4761e-6
0.400, 2.4684e-6
0.410, 2.4981e-6
0.420, 2.5133e-6
0.430, 2.5735e-6
0.440, 2.6187e-6
0.450, 2.6650e-6
0.460, 2.7465e-6
0.470, 2.8341e-6
0.480, 2.9378e-6
0.490, 3.0890e-6
0.500, 3.3226e-6
0.510, 3.5438e-6
0.520, 3.9504e-6
0.530, 4.4049e-6
0.540, 5.0439e-6
0.550, 5.8794e-6
0.560, 6.9522e-6
0.570, 8.3543e-6
0.580, 1.0199e-5
0.590, 1.2644e-5
0.600, 1.5819e-5
