Aug. 25, 2020   14:55:53
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_600_17.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Ep = 0.070V
ip = 6.101e-8A
Ah = 1.214e-7C

Potential/V, Current/A

Segment 1:
-0.490, 7.5219e-7
-0.480, 8.3484e-7
-0.470, 9.0052e-7
-0.460, 9.6311e-7
-0.450, 1.0321e-6
-0.440, 1.0985e-6
-0.430, 1.1688e-6
-0.420, 1.2486e-6
-0.410, 1.3374e-6
-0.400, 1.3787e-6
-0.390, 1.4731e-6
-0.380, 1.5512e-6
-0.370, 1.6338e-6
-0.360, 1.7072e-6
-0.350, 1.8096e-6
-0.340, 1.8894e-6
-0.330, 1.9303e-6
-0.320, 1.9895e-6
-0.310, 2.0640e-6
-0.300, 2.1011e-6
-0.290, 2.1756e-6
-0.280, 2.2000e-6
-0.270, 2.2532e-6
-0.260, 2.2881e-6
-0.250, 2.3232e-6
-0.240, 2.3469e-6
-0.230, 2.3187e-6
-0.220, 2.3867e-6
-0.210, 2.3999e-6
-0.200, 2.4345e-6
-0.190, 2.4059e-6
-0.180, 2.4109e-6
-0.170, 2.4013e-6
-0.160, 2.4317e-6
-0.150, 2.4204e-6
-0.140, 2.4505e-6
-0.130, 2.4520e-6
-0.120, 2.4176e-6
-0.110, 2.4450e-6
-0.100, 2.4407e-6
-0.090, 2.4477e-6
-0.080, 2.4025e-6
-0.070, 2.4087e-6
-0.060, 2.3844e-6
-0.050, 2.3815e-6
-0.040, 2.3846e-6
-0.030, 2.3707e-6
-0.020, 2.3810e-6
-0.010, 2.3796e-6
-0.000, 2.3927e-6
0.010, 2.3715e-6
0.020, 2.3836e-6
0.030, 2.3626e-6
0.040, 2.3540e-6
0.050, 2.3927e-6
0.060, 2.3994e-6
0.070, 2.4288e-6
0.080, 2.3889e-6
0.090, 2.3650e-6
0.100, 2.3619e-6
0.110, 2.3605e-6
0.120, 2.4066e-6
0.130, 2.4006e-6
0.140, 2.4226e-6
0.150, 2.4214e-6
0.160, 2.3937e-6
0.170, 2.3684e-6
0.180, 2.3631e-6
0.190, 2.3738e-6
0.200, 2.3925e-6
0.210, 2.4274e-6
0.220, 2.4226e-6
0.230, 2.3856e-6
0.240, 2.4078e-6
0.250, 2.4161e-6
0.260, 2.4173e-6
0.270, 2.4312e-6
0.280, 2.4472e-6
0.290, 2.4610e-6
0.300, 2.4613e-6
0.310, 2.4852e-6
0.320, 2.4739e-6
0.330, 2.5143e-6
0.340, 2.4983e-6
0.350, 2.5528e-6
0.360, 2.5857e-6
0.370, 2.5614e-6
0.380, 2.5747e-6
0.390, 2.5845e-6
0.400, 2.6005e-6
0.410, 2.6075e-6
0.420, 2.5819e-6
0.430, 2.6688e-6
0.440, 2.7152e-6
0.450, 2.7845e-6
0.460, 2.8451e-6
0.470, 2.9180e-6
0.480, 3.0439e-6
0.490, 3.1645e-6
0.500, 3.3353e-6
0.510, 3.6513e-6
0.520, 4.0094e-6
0.530, 4.4787e-6
0.540, 5.0931e-6
0.550, 5.9700e-6
0.560, 7.0957e-6
0.570, 8.5120e-6
0.580, 1.0471e-5
0.590, 1.3049e-5
0.600, 1.6594e-5
