Aug. 25, 2020   15:19:20
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_600_18.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Ep = -0.190V
ip = 6.210e-9A
Ah = 1.051e-8C

Ep = 0.260V
ip = 5.052e-8A
Ah = 3.802e-7C

Potential/V, Current/A

Segment 1:
-0.490, 8.1095e-7
-0.480, 9.3253e-7
-0.470, 1.0106e-6
-0.460, 1.1005e-6
-0.450, 1.1941e-6
-0.440, 1.2624e-6
-0.430, 1.3916e-6
-0.420, 1.4537e-6
-0.410, 1.5424e-6
-0.400, 1.6412e-6
-0.390, 1.7714e-6
-0.380, 1.8483e-6
-0.370, 1.9339e-6
-0.360, 2.0165e-6
-0.350, 2.0834e-6
-0.340, 2.2031e-6
-0.330, 2.2401e-6
-0.320, 2.3220e-6
-0.310, 2.3872e-6
-0.300, 2.4531e-6
-0.290, 2.4508e-6
-0.280, 2.5119e-6
-0.270, 2.6141e-6
-0.260, 2.6151e-6
-0.250, 2.6380e-6
-0.240, 2.6875e-6
-0.230, 2.7255e-6
-0.220, 2.7071e-6
-0.210, 2.7209e-6
-0.200, 2.7295e-6
-0.190, 2.7357e-6
-0.180, 2.7226e-6
-0.170, 2.7030e-6
-0.160, 2.6880e-6
-0.150, 2.6583e-6
-0.140, 2.6748e-6
-0.130, 2.7097e-6
-0.120, 2.6722e-6
-0.110, 2.6452e-6
-0.100, 2.6688e-6
-0.090, 2.6404e-6
-0.080, 2.6242e-6
-0.070, 2.5965e-6
-0.060, 2.6053e-6
-0.050, 2.6569e-6
-0.040, 2.6722e-6
-0.030, 2.6488e-6
-0.020, 2.6235e-6
-0.010, 2.6562e-6
-0.000, 2.6254e-6
0.010, 2.6562e-6
0.020, 2.6877e-6
0.030, 2.6282e-6
0.040, 2.6559e-6
0.050, 2.6550e-6
0.060, 2.5824e-6
0.070, 2.6440e-6
0.080, 2.6488e-6
0.090, 2.6361e-6
0.100, 2.6636e-6
0.110, 2.7075e-6
0.120, 2.6569e-6
0.130, 2.6746e-6
0.140, 2.6887e-6
0.150, 2.6739e-6
0.160, 2.6746e-6
0.170, 2.6175e-6
0.180, 2.6877e-6
0.190, 2.7324e-6
0.200, 2.7147e-6
0.210, 2.6758e-6
0.220, 2.7283e-6
0.230, 2.7224e-6
0.240, 2.7114e-6
0.250, 2.7656e-6
0.260, 2.7852e-6
0.270, 2.7484e-6
0.280, 2.7415e-6
0.290, 2.7811e-6
0.300, 2.7309e-6
0.310, 2.7405e-6
0.320, 2.6841e-6
0.330, 2.7720e-6
0.340, 2.7811e-6
0.350, 2.7503e-6
0.360, 2.8155e-6
0.370, 2.8052e-6
0.380, 2.8580e-6
0.390, 2.9087e-6
0.400, 2.9139e-6
0.410, 2.8967e-6
0.420, 2.8650e-6
0.430, 2.9825e-6
0.440, 3.0283e-6
0.450, 3.1377e-6
0.460, 3.2261e-6
0.470, 3.2280e-6
0.480, 3.3682e-6
0.490, 3.5034e-6
0.500, 3.7000e-6
0.510, 4.0051e-6
0.520, 4.3686e-6
0.530, 4.8296e-6
0.540, 5.5195e-6
0.550, 6.4496e-6
0.560, 7.6411e-6
0.570, 9.2649e-6
0.580, 1.1414e-5
0.590, 1.4514e-5
0.600, 1.8776e-5
