Sept. 4, 2020   12:22:40
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_600_12_2.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 1.2217e+1, -9.4671e+0, 1.5455e+1, -37.8
8.1055e+3, 1.2513e+1, -1.0788e+1, 1.6522e+1, -40.8
6.6406e+3, 1.2739e+1, -1.2048e+1, 1.7533e+1, -43.4
5.4687e+3, 1.2928e+1, -1.3929e+1, 1.9004e+1, -47.1
4.5898e+3, 1.2954e+1, -1.6136e+1, 2.0692e+1, -51.2
3.7109e+3, 1.3166e+1, -1.9109e+1, 2.3206e+1, -55.4
3.1250e+3, 1.3390e+1, -2.2612e+1, 2.6279e+1, -59.4
2.5391e+3, 1.3691e+1, -2.6656e+1, 2.9967e+1, -62.8
2.1484e+3, 1.4166e+1, -3.1557e+1, 3.4591e+1, -65.8
1.7578e+3, 1.4857e+1, -3.7550e+1, 4.0383e+1, -68.4
1.4648e+3, 1.5899e+1, -4.5003e+1, 4.7729e+1, -70.5
1.1719e+3, 1.7396e+1, -5.5251e+1, 5.7925e+1, -72.5
9.6680e+2, 1.9471e+1, -6.7452e+1, 7.0206e+1, -73.9
8.1055e+2, 2.1778e+1, -8.1005e+1, 8.3881e+1, -75.0
6.6406e+2, 2.3033e+1, -9.7430e+1, 1.0012e+2, -76.7
5.4688e+2, 2.5402e+1, -1.1753e+2, 1.2025e+2, -77.8
4.5898e+2, 2.8652e+1, -1.4230e+2, 1.4516e+2, -78.6
3.7109e+2, 3.1719e+1, -1.7373e+2, 1.7660e+2, -79.7
3.1250e+2, 3.6870e+1, -2.1107e+2, 2.1427e+2, -80.1
2.5391e+2, 4.7626e+1, -2.5068e+2, 2.5517e+2, -79.2
2.1484e+2, 5.6975e+1, -2.9403e+2, 2.9950e+2, -79.0
1.7578e+2, 6.0914e+1, -3.3927e+2, 3.4469e+2, -79.8
1.4648e+2, 6.9728e+1, -4.0055e+2, 4.0657e+2, -80.1
1.1719e+2, 1.1270e+2, -4.8304e+2, 4.9601e+2, -76.9
9.7656e+1, 1.7755e+2, -5.8972e+2, 6.1586e+2, -73.2
8.1380e+1, 2.1347e+2, -6.8116e+2, 7.1382e+2, -72.6
6.9754e+1, 2.2176e+2, -7.7318e+2, 8.0436e+2, -74.0
5.7445e+1, 2.5711e+2, -8.9871e+2, 9.3476e+2, -74.0
4.6503e+1, 3.4413e+2, -1.0571e+3, 1.1117e+3, -72.0
3.7560e+1, 4.3088e+2, -1.2385e+3, 1.3114e+3, -70.8
3.1502e+1, 5.5521e+2, -1.4178e+3, 1.5226e+3, -68.6
2.5699e+1, 7.3321e+2, -1.6120e+3, 1.7709e+3, -65.5
2.1230e+1, 9.2095e+2, -1.8267e+3, 2.0457e+3, -63.2
1.7439e+1, 1.1270e+3, -2.0578e+3, 2.3462e+3, -61.3
1.4361e+1, 1.3448e+3, -2.2887e+3, 2.6545e+3, -59.6
1.1909e+1, 1.5818e+3, -2.5201e+3, 2.9754e+3, -57.9
