Sept. 4, 2020   17:58:33
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_700_13.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 1.5592e+1, -9.4219e+0, 1.8218e+1, -31.1
8.1055e+3, 1.6558e+1, -1.0364e+1, 1.9534e+1, -32.0
6.6406e+3, 1.6609e+1, -1.1020e+1, 1.9932e+1, -33.6
5.4687e+3, 1.7044e+1, -1.2343e+1, 2.1044e+1, -35.9
4.5898e+3, 1.7430e+1, -1.3587e+1, 2.2100e+1, -37.9
3.7109e+3, 1.7898e+1, -1.5491e+1, 2.3671e+1, -40.9
3.1250e+3, 1.8557e+1, -1.7872e+1, 2.5764e+1, -43.9
2.5391e+3, 1.9252e+1, -2.0694e+1, 2.8264e+1, -47.1
2.1484e+3, 1.9797e+1, -2.4403e+1, 3.1423e+1, -50.9
1.7578e+3, 2.0379e+1, -2.8550e+1, 3.5077e+1, -54.5
1.4648e+3, 2.0967e+1, -3.3738e+1, 3.9722e+1, -58.1
1.1719e+3, 2.2852e+1, -4.0834e+1, 4.6794e+1, -60.8
9.6680e+2, 2.6078e+1, -4.9011e+1, 5.5517e+1, -62.0
8.1055e+2, 2.8968e+1, -5.8492e+1, 6.5272e+1, -63.7
6.6406e+2, 3.2750e+1, -6.9985e+1, 7.7269e+1, -64.9
5.4688e+2, 3.7289e+1, -8.2720e+1, 9.0736e+1, -65.7
4.5898e+2, 4.3621e+1, -9.6327e+1, 1.0574e+2, -65.6
3.7109e+2, 5.1838e+1, -1.1191e+2, 1.2333e+2, -65.1
3.1250e+2, 6.1862e+1, -1.2829e+2, 1.4243e+2, -64.3
2.5391e+2, 7.6272e+1, -1.4616e+2, 1.6486e+2, -62.4
2.1484e+2, 9.0455e+1, -1.6774e+2, 1.9057e+2, -61.7
1.7578e+2, 1.0945e+2, -1.9968e+2, 2.2771e+2, -61.3
1.4648e+2, 1.3772e+2, -2.3191e+2, 2.6972e+2, -59.3
1.1719e+2, 1.6835e+2, -2.5339e+2, 3.0421e+2, -56.4
9.7656e+1, 1.9925e+2, -2.6896e+2, 3.3472e+2, -53.5
8.1380e+1, 2.4172e+2, -2.8084e+2, 3.7054e+2, -49.3
6.9754e+1, 2.8539e+2, -3.0093e+2, 4.1473e+2, -46.5
5.7445e+1, 3.2030e+2, -3.2226e+2, 4.5436e+2, -45.2
4.6503e+1, 3.5681e+2, -3.3771e+2, 4.9129e+2, -43.4
3.7560e+1, 3.8121e+2, -3.5978e+2, 5.2418e+2, -43.3
3.1502e+1, 4.0834e+2, -3.8047e+2, 5.5812e+2, -43.0
2.5699e+1, 4.4942e+2, -3.9844e+2, 6.0061e+2, -41.6
2.1230e+1, 4.9194e+2, -4.2299e+2, 6.4879e+2, -40.7
1.7439e+1, 5.3407e+2, -4.4955e+2, 6.9809e+2, -40.1
1.4361e+1, 5.7137e+2, -4.8341e+2, 7.4843e+2, -40.2
1.1909e+1, 6.1236e+2, -5.3322e+2, 8.1198e+2, -41.0
9.7656e+0, 6.5605e+2, -5.9685e+2, 8.8692e+2, -42.3
8.0708e+0, 6.9855e+2, -6.6799e+2, 9.6653e+2, -43.7
