Oct. 2, 2020   14:36:28
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_700_15.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp FT
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 5
Cycles (.01-.1Hz) = 2
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6680e+3, 1.3292e+1, -9.2920e+0, 1.6217e+1, -35.0
8.1055e+3, 1.3628e+1, -9.5472e+0, 1.6639e+1, -35.0
6.6406e+3, 1.4097e+1, -1.0594e+1, 1.7634e+1, -36.9
5.4687e+3, 1.4773e+1, -1.1723e+1, 1.8859e+1, -38.4
4.5898e+3, 1.5100e+1, -1.3122e+1, 2.0005e+1, -41.0
3.7109e+3, 1.5248e+1, -1.4855e+1, 2.1288e+1, -44.3
3.1250e+3, 1.5561e+1, -1.7369e+1, 2.3320e+1, -48.1
2.5391e+3, 1.6096e+1, -2.0283e+1, 2.5893e+1, -51.6
2.1484e+3, 1.6787e+1, -2.3516e+1, 2.8893e+1, -54.5
1.7578e+3, 1.7965e+1, -2.7276e+1, 3.2661e+1, -56.6
1.4648e+3, 1.9013e+1, -3.2292e+1, 3.7473e+1, -59.5
1.1719e+3, 2.0123e+1, -3.9162e+1, 4.4029e+1, -62.8
9.6680e+2, 2.1969e+1, -4.8459e+1, 5.3206e+1, -65.6
8.1055e+2, 2.4548e+1, -5.9018e+1, 6.3920e+1, -67.4
6.6406e+2, 2.7018e+1, -7.1276e+1, 7.6225e+1, -69.2
5.4688e+2, 3.0123e+1, -8.4533e+1, 8.9740e+1, -70.4
4.5898e+2, 3.7315e+1, -9.7416e+1, 1.0432e+2, -69.0
3.7109e+2, 4.7009e+1, -1.1418e+2, 1.2347e+2, -67.6
3.1250e+2, 5.8099e+1, -1.4440e+2, 1.5565e+2, -68.1
2.5391e+2, 7.4071e+1, -1.8138e+2, 1.9592e+2, -67.8
2.1484e+2, 8.7342e+1, -2.0448e+2, 2.2235e+2, -66.9
1.7578e+2, 9.6696e+1, -2.1897e+2, 2.3937e+2, -66.2
1.4648e+2, 1.3111e+2, -2.3840e+2, 2.7208e+2, -61.2
1.1719e+2, 1.7365e+2, -2.6902e+2, 3.2019e+2, -57.2
9.7656e+1, 2.0124e+2, -3.0628e+2, 3.6648e+2, -56.7
8.1380e+1, 2.1266e+2, -3.2483e+2, 3.8825e+2, -56.8
6.9754e+1, 2.2749e+2, -3.5612e+2, 4.2258e+2, -57.4
5.7445e+1, 2.7959e+2, -3.9300e+2, 4.8230e+2, -54.6
4.6503e+1, 3.5848e+2, -4.1299e+2, 5.4687e+2, -49.0
