Oct. 8, 2020   17:06:03
A.C. Impedance
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200904 peis\same sample diff t_750_18.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.171
High Frequency (Hz) = 1e+4
Low Frequency (Hz) = 0.001
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1
Cycles (.01-.1Hz) = 1
Cycles (.001-.01Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

9.6154e+3, 3.0356e+0, -1.1534e+1, 1.1927e+1, -75.3
8.3333e+3, 3.5304e+0, -1.3080e+1, 1.3548e+1, -74.9
6.9444e+3, 4.3449e+0, -1.5400e+1, 1.6001e+1, -74.2
5.4348e+3, 5.6246e+0, -1.8509e+1, 1.9345e+1, -73.1
4.6296e+3, 7.0690e+0, -2.1791e+1, 2.2909e+1, -72.0
3.6765e+3, 8.7185e+0, -2.5275e+1, 2.6736e+1, -71.0
3.2051e+3, 1.0664e+1, -2.9060e+1, 3.0954e+1, -69.8
2.6042e+3, 1.3073e+1, -3.3208e+1, 3.5688e+1, -68.5
2.1930e+3, 1.5167e+1, -3.7502e+1, 4.0453e+1, -68.0
1.8116e+3, 1.7417e+1, -4.2699e+1, 4.6114e+1, -67.8
1.5060e+3, 2.0348e+1, -4.8936e+1, 5.2998e+1, -67.4
1.2255e+3, 2.7135e+1, -6.1898e+1, 6.7585e+1, -66.3
9.6154e+2, 3.5694e+1, -7.9444e+1, 8.7094e+1, -65.8
8.3333e+2, 4.3698e+1, -9.4007e+1, 1.0367e+2, -65.1
6.9444e+2, 5.2711e+1, -1.1265e+2, 1.2437e+2, -64.9
5.4348e+2, 6.2725e+1, -1.3687e+2, 1.5056e+2, -65.4
4.6296e+2, 7.7363e+1, -1.6381e+2, 1.8116e+2, -64.7
3.6765e+2, 9.3711e+1, -1.8909e+2, 2.1104e+2, -63.6
3.2051e+2, 1.0392e+2, -2.4094e+2, 2.6240e+2, -66.7
2.6042e+2, 1.2051e+2, -2.6347e+2, 2.8973e+2, -65.4
2.1930e+2, 1.6350e+2, -2.6170e+2, 3.0858e+2, -58.0
1.8116e+2, 2.1562e+2, -2.8388e+2, 3.5648e+2, -52.8
1.5060e+2, 2.8110e+2, -3.0052e+2, 4.1149e+2, -46.9
1.2255e+2, 3.0922e+2, -3.0484e+2, 4.3422e+2, -44.6
9.7656e+1, 2.9701e+2, -2.9268e+2, 4.1699e+2, -44.6
8.1380e+1, 3.0178e+2, -2.8733e+2, 4.1669e+2, -43.6
6.9754e+1, 3.1527e+2, -2.7687e+2, 4.1958e+2, -41.3
5.7445e+1, 3.4729e+2, -2.6885e+2, 4.3920e+2, -37.7
4.6503e+1, 3.8928e+2, -2.7718e+2, 4.7788e+2, -35.5
3.7560e+1, 4.2914e+2, -2.8495e+2, 5.1513e+2, -33.6
3.1502e+1, 4.5977e+2, -3.0885e+2, 5.5388e+2, -33.9
2.5699e+1, 4.8143e+2, -3.4025e+2, 5.8953e+2, -35.3
2.1230e+1, 5.0294e+2, -3.7571e+2, 6.2778e+2, -36.8
1.7439e+1, 5.3018e+2, -4.2626e+2, 6.8029e+2, -38.8
1.4361e+1, 5.6130e+2, -4.8216e+2, 7.3996e+2, -40.7
1.1909e+1, 5.9192e+2, -5.4305e+2, 8.0329e+2, -42.5
9.7656e+0, 6.2665e+2, -6.0956e+2, 8.7421e+2, -44.2
8.0708e+0, 6.6978e+2, -6.9681e+2, 9.6651e+2, -46.1
6.6433e+0, 7.1972e+2, -8.0211e+2, 1.0777e+3, -48.1
5.4863e+0, 7.5186e+2, -9.2207e+2, 1.1898e+3, -50.8
4.5422e+0, 8.0845e+2, -1.0599e+3, 1.3330e+3, -52.7
3.7416e+0, 9.2079e+2, -1.2185e+3, 1.5273e+3, -52.9
3.0904e+0, 1.0588e+3, -1.3965e+3, 1.7525e+3, -52.8
2.5498e+0, 1.2249e+3, -1.5948e+3, 2.0109e+3, -52.5
2.1047e+0, 1.4249e+3, -1.8062e+3, 2.3006e+3, -51.7
1.7377e+0, 1.6816e+3, -2.0391e+3, 2.6430e+3, -50.5
1.4340e+0, 1.9946e+3, -2.2792e+3, 3.0287e+3, -48.8
1.1837e+0, 2.4152e+3, -2.5206e+3, 3.4909e+3, -46.2
9.7656e-1, 2.8828e+3, -2.6997e+3, 3.9495e+3, -43.1
8.0708e-1, 3.3633e+3, -2.7742e+3, 4.3598e+3, -39.5
6.6433e-1, 3.8232e+3, -2.7637e+3, 4.7175e+3, -35.9
5.4863e-1, 4.2915e+3, -2.7137e+3, 5.0775e+3, -32.3
4.5422e-1, 4.8055e+3, -2.6347e+3, 5.4803e+3, -28.7
3.7416e-1, 5.2528e+3, -2.4620e+3, 5.8012e+3, -25.1
3.0904e-1, 5.6338e+3, -2.2210e+3, 6.0558e+3, -21.5
2.5498e-1, 5.9091e+3, -2.0065e+3, 6.2405e+3, -18.8
2.1047e-1, 6.1105e+3, -1.7944e+3, 6.3685e+3, -16.4
1.7377e-1, 6.2681e+3, -1.5674e+3, 6.4611e+3, -14.0
1.4340e-1, 6.3868e+3, -1.3484e+3, 6.5276e+3, -11.9
1.1837e-1, 6.4801e+3, -1.1454e+3, 6.5805e+3, -10.0
9.7656e-2, 6.5470e+3, -9.7142e+2, 6.6187e+3, -8.4
8.0708e-2, 6.6050e+3, -8.1795e+2, 6.6555e+3, -7.1
6.6433e-2, 6.6607e+3, -7.0023e+2, 6.6974e+3, -6.0
5.4863e-2, 6.7074e+3, -5.8476e+2, 6.7328e+3, -5.0
4.5422e-2, 6.7371e+3, -4.6791e+2, 6.7534e+3, -4.0
