TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,17:15:49
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.0736
LASTX, 1302.0736
NPOINTS,    1106
FIRSTY,   178.00000
MAXY,   606.10040
MINY,   178.00000
XYDATA
197.0736,178
198.0736,178.919
199.0736,179.001
200.0736,179.729
201.0736,180.209
202.0736,180.309
203.0736,181.856
204.0736,182.022
205.0736,183.276
206.0736,184.585
207.0736,185.011
208.0736,186.038
209.0736,187.727
210.0736,187.685
211.0736,189.858
212.0736,192.589
213.0736,194.71
214.0736,196.721
215.0736,197.696
216.0736,199.914
217.0736,203.861
218.0736,206.932
219.0736,209.463
220.0736,215.093
221.0736,223.356
222.0736,228.554
223.0736,239.453
224.0736,252.334
225.0736,263.331
226.0736,273.861
227.0736,279.296
228.0736,272.404
229.0736,264.4
230.0736,254.039
231.0736,245.415
232.0736,242.291
233.0736,237.335
234.0736,235.956
235.0736,236.999
236.0736,235.516
237.0736,235.702
238.0736,239.886
239.0736,241.744
240.0736,244.331
241.0736,249.166
242.0736,254.104
243.0736,258.722
244.0736,263.904
245.0736,270.301
246.0736,277.828
247.0736,277.586
248.0736,272.381
249.0736,265.501
250.0736,258.879
251.0736,253.941
252.0736,248.268
253.0736,246.648
254.0736,245.586
255.0736,244.713
256.0736,245.372
257.0736,245.553
258.0736,244.118
259.0736,243.607
260.0736,243.741
261.0736,244.571
262.0736,246.478
263.0736,247.916
264.0736,247.057
265.0736,246.897
266.0736,249.998
267.0736,250.134
268.0736,248.662
269.0736,250.605
270.0736,252.502
271.0736,252.534
272.0736,253.789
273.0736,253.8
274.0736,254.616
275.0736,257.23
276.0736,258.033
277.0736,258.667
278.0736,259.612
279.0736,262.386
280.0736,264.435
281.0736,267.089
282.0736,271.453
283.0736,273.054
284.0736,279.076
285.0736,285.064
286.0736,291.012
287.0736,299.555
288.0736,311.023
289.0736,323.585
290.0736,334.916
291.0736,348.767
292.0736,361.11
293.0736,367.512
294.0736,368.061
295.0736,362.881
296.0736,352.176
297.0736,345.382
298.0736,340.88
299.0736,338.274
300.0736,335.734
301.0736,330.515
302.0736,324.222
303.0736,318.205
304.0736,311.399
305.0736,301.182
306.0736,295.822
307.0736,292.52
308.0736,284.641
309.0736,285.165
310.0736,281.269
311.0736,277.054
312.0736,273.53
313.0736,271.103
314.0736,271.207
315.0736,271.37
316.0736,270.438
317.0736,268.072
318.0736,267.943
319.0736,267.778
320.0736,266.038
321.0736,264.991
322.0736,264.476
323.0736,265.763
324.0736,265.997
325.0736,265.435
326.0736,265.181
327.0736,264.883
328.0736,265.4
329.0736,268.207
330.0736,267.827
331.0736,265.721
332.0736,264.149
333.0736,264.348
334.0736,265.094
335.0736,264.636
336.0736,265.763
337.0736,264.273
338.0736,264.571
339.0736,266.317
340.0736,265.477
341.0736,263.871
342.0736,265.584
343.0736,266.951
344.0736,267.802
345.0736,268.667
346.0736,268.331
347.0736,267.103
348.0736,267.069
349.0736,267.852
350.0736,267.665
351.0736,267.116
352.0736,269.127
353.0736,270.291
354.0736,269.306
355.0736,269.761
356.0736,269.494
357.0736,269.667
358.0736,267.327
359.0736,267.387
