TITLE,
DATA TYPE,RAMAN SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,20/12/14
TIME,17:08:00
SPECTROMETER/DATA SYSTEM,
LOCALE,1041
RESOLUTION,
DELTAX,1
XUNITS,1/CM
YUNITS,INTENSITY
FIRSTX,  197.0736
LASTX, 1302.0736
NPOINTS,    1106
FIRSTY,   177.25000
MAXY,   614.26392
MINY,   177.25000
XYDATA
197.0736,177.25
198.0736,178.391
199.0736,179.461
200.0736,179.906
201.0736,179.839
202.0736,179.923
203.0736,180.721
204.0736,182.448
205.0736,183.181
206.0736,183.494
207.0736,185.024
208.0736,187.323
209.0736,188.479
210.0736,188.892
211.0736,189.601
212.0736,191.043
213.0736,194.131
214.0736,197.625
215.0736,198.489
216.0736,199.308
217.0736,202.815
218.0736,206.806
219.0736,210.091
220.0736,215.74
221.0736,224.679
222.0736,230.992
223.0736,240.071
224.0736,248.22
225.0736,254.664
226.0736,260.459
227.0736,262.406
228.0736,265.261
229.0736,261.171
230.0736,257.008
231.0736,254.543
232.0736,248.537
233.0736,242.462
234.0736,240.752
235.0736,238.835
236.0736,237.543
237.0736,238.081
238.0736,239.642
239.0736,242.735
240.0736,247.428
241.0736,250.892
242.0736,256.03
243.0736,260.904
244.0736,263.923
245.0736,268.211
246.0736,270.418
247.0736,268.812
248.0736,268.314
249.0736,266.215
250.0736,261.851
251.0736,259.573
252.0736,255.112
253.0736,251.638
254.0736,249.609
255.0736,247.58
256.0736,245.721
257.0736,245.426
258.0736,246.419
259.0736,246.601
260.0736,245.46
261.0736,245.064
262.0736,247.017
263.0736,248.91
264.0736,247.574
265.0736,247.331
266.0736,249.939
267.0736,250.486
268.0736,250.747
269.0736,253.575
270.0736,254.122
271.0736,252.586
272.0736,253.573
273.0736,254.831
274.0736,255.503
275.0736,256.905
276.0736,258.602
277.0736,259.807
278.0736,260.244
279.0736,263.008
280.0736,265.444
281.0736,266.421
282.0736,269.093
283.0736,273.486
284.0736,278.366
285.0736,284.754
286.0736,291.214
287.0736,299.155
288.0736,308.397
289.0736,317.211
290.0736,330.754
291.0736,338.523
292.0736,346.292
293.0736,351.397
294.0736,351.469
295.0736,352.134
296.0736,351.148
297.0736,348.694
298.0736,343.661
299.0736,338.008
300.0736,332.508
301.0736,327.522
302.0736,323.727
303.0736,317.222
304.0736,312.031
305.0736,305.77
306.0736,299.714
307.0736,295.363
308.0736,290.517
309.0736,285.457
310.0736,279.733
311.0736,277.044
312.0736,275.512
313.0736,274.217
314.0736,274.095
315.0736,272.946
316.0736,270.209
317.0736,270.305
318.0736,268.836
319.0736,268.445
320.0736,268.612
321.0736,266.104
322.0736,266.72
323.0736,266.713
324.0736,267.233
325.0736,265.451
326.0736,264.173
327.0736,265.454
328.0736,266.253
329.0736,268.509
330.0736,267.799
331.0736,265.35
332.0736,264.963
333.0736,265.779
334.0736,266.186
335.0736,267.125
336.0736,266.327
337.0736,266.695
338.0736,267.41
339.0736,267.836
340.0736,267.419
341.0736,266.466
342.0736,267.108
343.0736,267.535
344.0736,267.042
345.0736,266.957
346.0736,267.914
347.0736,268.737
348.0736,268.597
349.0736,268.606
350.0736,269.095
351.0736,268.984
352.0736,270.48
353.0736,271.175
354.0736,269.939
355.0736,270.167
356.0736,270.589
357.0736,271.06
358.0736,271.13
359.0736,271.187
