Date	2020年11月24日火曜日 06時44分21秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	200
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	200.000
保存終了波長[nm]	800.000
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
200.047	0.831104
200.422	0.813156
200.796	0.663241
201.171	0.625785
201.546	0.576113
201.921	0.616638
202.296	0.599902
202.671	0.589417
203.045	0.607594
203.420	0.617483
203.795	0.579762
204.170	0.561831
204.544	0.572190
204.919	0.581186
205.294	0.577318
205.668	0.576327
206.043	0.557082
206.417	0.574649
206.792	0.562273
207.166	0.564013
207.541	0.498772
207.915	0.500873
208.289	0.509658
208.664	0.485050
209.038	0.471974
209.412	0.461315
209.787	0.440000
210.161	0.451876
210.535	0.465536
210.909	0.478289
211.284	0.483318
211.658	0.511131
212.032	0.497091
212.406	0.491647
212.780	0.512884
213.154	0.535812
213.528	0.518383
213.902	0.535697
214.276	0.537486
214.650	0.495605
215.024	0.472209
215.398	0.460880
215.772	0.470939
216.145	0.488460
216.519	0.481814
216.893	0.454756
217.267	0.418747
217.640	0.428060
218.014	0.438705
218.388	0.421448
218.761	0.417753
219.135	0.434742
219.508	0.434491
219.882	0.427503
220.256	0.428760
220.629	0.437276
221.003	0.456356
221.376	0.477473
221.749	0.515842
222.123	0.530610
222.496	0.515455
222.869	0.515497
223.243	0.500612
223.616	0.470164
223.989	0.475050
224.362	0.451910
224.736	0.436240
225.109	0.425841
225.482	0.452007
225.855	0.433401
226.228	0.418371
226.601	0.450431
226.974	0.470846
227.347	0.459727
227.720	0.461167
228.093	0.458908
228.466	0.463736
228.839	0.466236
229.212	0.471244
229.585	0.455781
229.957	0.466658
230.330	0.488597
230.703	0.487297
231.076	0.470737
231.448	0.473433
231.821	0.493915
232.194	0.506301
232.566	0.502582
232.939	0.520035
233.311	0.542659
233.684	0.527006
234.056	0.495382
234.429	0.466371
234.801	0.447834
235.174	0.442562
235.546	0.433125
235.918	0.439569
236.291	0.430035
236.663	0.441607
237.035	0.436451
237.408	0.413373
237.780	0.433369
238.152	0.481569
