Aug. 25, 2020   11:56:25
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_650_12.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Ep = -0.170V
ip = 4.876e-7A
Ah = 2.162e-6C

Potential/V, Current/A

Segment 1:
-0.490, 4.8060e-7
-0.480, 5.2192e-7
-0.470, 5.5512e-7
-0.460, 6.0505e-7
-0.450, 6.7790e-7
-0.440, 7.3188e-7
-0.430, 7.6318e-7
-0.420, 8.2241e-7
-0.410, 8.7449e-7
-0.400, 9.5522e-7
-0.390, 1.0780e-6
-0.380, 1.1970e-6
-0.370, 1.3630e-6
-0.360, 1.3587e-6
-0.350, 1.3971e-6
-0.340, 1.5218e-6
-0.330, 1.4958e-6
-0.320, 1.5779e-6
-0.310, 1.6037e-6
-0.300, 1.6489e-6
-0.290, 1.6647e-6
-0.280, 1.7086e-6
-0.270, 1.7614e-6
-0.260, 1.8369e-6
-0.250, 1.9890e-6
-0.240, 1.9740e-6
-0.230, 1.9580e-6
-0.220, 2.0339e-6
-0.210, 2.0903e-6
-0.200, 2.2066e-6
-0.190, 2.2217e-6
-0.180, 2.5078e-6
-0.170, 2.5554e-6
-0.160, 2.4271e-6
-0.150, 2.4192e-6
-0.140, 2.4328e-6
-0.130, 2.4300e-6
-0.120, 2.4338e-6
-0.110, 2.4520e-6
-0.100, 2.4885e-6
-0.090, 2.5157e-6
-0.080, 2.7443e-6
-0.070, 2.8767e-6
-0.060, 2.9261e-6
-0.050, 2.8181e-6
-0.040, 2.7460e-6
-0.030, 2.7603e-6
-0.020, 2.7701e-6
-0.010, 2.8406e-6
-0.000, 2.8635e-6
0.010, 2.8764e-6
0.020, 2.9096e-6
0.030, 3.0135e-6
0.040, 2.9899e-6
0.050, 2.9920e-6
0.060, 3.0236e-6
0.070, 3.0434e-6
0.080, 3.1514e-6
0.090, 3.2376e-6
0.100, 3.2734e-6
0.110, 3.3704e-6
0.120, 3.3374e-6
0.130, 3.3819e-6
0.140, 3.4397e-6
0.150, 3.4277e-6
0.160, 3.5493e-6
0.170, 3.5691e-6
0.180, 3.5455e-6
0.190, 3.6544e-6
0.200, 3.6429e-6
0.210, 3.6019e-6
0.220, 3.5899e-6
0.230, 3.6957e-6
0.240, 3.6933e-6
0.250, 3.8309e-6
0.260, 3.7681e-6
0.270, 3.7449e-6
0.280, 3.7335e-6
0.290, 3.8290e-6
0.300, 3.7972e-6
0.310, 3.8276e-6
0.320, 3.8555e-6
0.330, 3.8911e-6
0.340, 3.9757e-6
0.350, 4.0132e-6
0.360, 4.0686e-6
0.370, 4.1455e-6
0.380, 4.2205e-6
0.390, 4.2743e-6
0.400, 4.3130e-6
0.410, 4.3349e-6
0.420, 4.4219e-6
0.430, 4.5602e-6
0.440, 4.7491e-6
0.450, 4.9510e-6
0.460, 5.0214e-6
0.470, 5.0544e-6
0.480, 5.1667e-6
0.490, 5.2842e-6
0.500, 5.4903e-6
0.510, 5.7129e-6
0.520, 6.1219e-6
0.530, 6.4959e-6
0.540, 6.9008e-6
0.550, 7.6208e-6
0.560, 8.3304e-6
0.570, 9.3404e-6
0.580, 1.0795e-5
0.590, 1.2779e-5
0.600, 1.5561e-5
