Aug. 25, 2020   13:52:01
Linear Sweep Voltammetry
File: c:\users\als\desktop\katayama\2020\tokubuchi\20200825\same sample diff t_700_15.txt
Data Source:  Experiment
Instrument Model:  CHI660A
Header: 
Note: 

Init E (V) = -0.5
Final E (V) = 0.6
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.01
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4


Potential/V, Current/A

Segment 1:
-0.490, 5.4127e-7
-0.480, 6.0911e-7
-0.470, 6.6500e-7
-0.460, 7.3260e-7
-0.450, 8.0569e-7
-0.440, 8.7043e-7
-0.430, 9.4925e-7
-0.420, 1.0348e-6
-0.410, 1.1291e-6
-0.400, 1.2149e-6
-0.390, 1.2669e-6
-0.380, 1.3513e-6
-0.370, 1.4659e-6
-0.360, 1.5581e-6
-0.350, 1.6668e-6
-0.340, 1.7554e-6
-0.330, 1.8424e-6
-0.320, 1.9563e-6
-0.310, 2.1111e-6
-0.300, 2.2418e-6
-0.290, 2.4130e-6
-0.280, 2.6180e-6
-0.270, 2.8427e-6
-0.260, 3.1091e-6
-0.250, 3.4134e-6
-0.240, 3.7660e-6
-0.230, 4.2523e-6
-0.220, 4.7150e-6
-0.210, 5.2632e-6
-0.200, 5.9353e-6
-0.190, 6.7570e-6
-0.180, 7.5670e-6
-0.170, 8.5779e-6
-0.160, 9.6296e-6
-0.150, 1.0828e-5
-0.140, 1.2058e-5
-0.130, 1.3442e-5
-0.120, 1.4838e-5
-0.110, 1.6349e-5
-0.100, 1.7932e-5
-0.090, 1.9535e-5
-0.080, 2.1274e-5
-0.070, 2.2960e-5
-0.060, 2.4589e-5
-0.050, 2.6286e-5
-0.040, 2.8042e-5
-0.030, 2.9760e-5
-0.020, 3.1163e-5
-0.010, 3.2952e-5
-0.000, 3.4730e-5
0.010, 3.6348e-5
0.020, 3.7828e-5
0.030, 3.9282e-5
0.040, 4.0724e-5
0.050, 4.2144e-5
0.060, 4.3453e-5
0.070, 4.4673e-5
0.080, 4.5955e-5
0.090, 4.7194e-5
0.100, 4.8189e-5
0.110, 4.9170e-5
0.120, 4.9899e-5
0.130, 5.0671e-5
0.140, 5.1458e-5
0.150, 5.2324e-5
0.160, 5.2913e-5
0.170, 5.3510e-5
0.180, 5.4175e-5
0.190, 5.4722e-5
0.200, 5.5283e-5
0.210, 5.5841e-5
0.220, 5.6341e-5
0.230, 5.6729e-5
0.240, 5.7225e-5
0.250, 5.7706e-5
0.260, 5.8091e-5
0.270, 5.8598e-5
0.280, 5.8803e-5
0.290, 5.9251e-5
0.300, 5.9681e-5
0.310, 5.9993e-5
0.320, 6.0322e-5
0.330, 6.0797e-5
0.340, 6.1081e-5
0.350, 6.1444e-5
0.360, 6.1785e-5
0.370, 6.2128e-5
0.380, 6.2431e-5
0.390, 6.2755e-5
0.400, 6.3124e-5
0.410, 6.3365e-5
0.420, 6.3891e-5
0.430, 6.4112e-5
0.440, 6.4475e-5
0.450, 6.4895e-5
0.460, 6.5204e-5
0.470, 6.5679e-5
0.480, 6.6128e-5
0.490, 6.6558e-5
0.500, 6.7030e-5
0.510, 6.7368e-5
0.520, 6.7905e-5
0.530, 6.8538e-5
0.540, 6.9130e-5
0.550, 6.9943e-5
0.560, 7.0655e-5
0.570, 7.1572e-5
0.580, 7.2645e-5
0.590, 7.4017e-5
0.600, 7.5619e-5
