出力日時,2021/06/21 13:31:22
データソース,hematite_First.S1-2-1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.350,0.100,-0.403,1E-06,4.65E-08
3.450,0.200,-0.402,2E-06,1.4E-07
3.550,0.300,-0.401,2E-06,2.13E-07
3.650,0.400,-0.4,1E-06,3.065E-07
3.750,0.500,-0.399,2E-06,4.04000000000001E-07
3.850,0.600,-0.398,2E-06,5.32000000000002E-07
3.950,0.700,-0.397,1E-06,6.62500000000002E-07
4.050,0.800,-0.396,1E-06,7.95500000000002E-07
4.150,0.900,-0.395,2E-06,9.38000000000002E-07
4.250,1.000,-0.394,2E-06,1.1E-06
4.350,1.100,-0.393,1E-06,1.2375E-06
4.450,1.200,-0.392,2E-06,1.36499999999999E-06
4.550,1.300,-0.391,2E-06,1.51899999999999E-06
4.650,1.400,-0.39,2E-06,1.65899999999999E-06
4.750,1.500,-0.389,0,1.82399999999999E-06
4.850,1.600,-0.388,3E-06,1.96749999999999E-06
4.950,1.700,-0.387,2E-06,2.14099999999999E-06
5.050,1.800,-0.386,2E-06,2.33499999999998E-06
5.150,1.900,-0.385,2E-06,2.53699999999999E-06
5.250,2.000,-0.384,2E-06,2.71799999999999E-06
5.350,2.100,-0.383,2E-06,2.89599999999999E-06
5.450,2.200,-0.382,1E-06,3.09849999999999E-06
5.550,2.300,-0.381,3E-06,3.2795E-06
5.650,2.400,-0.38,3E-06,3.4715E-06
5.750,2.500,-0.379,2E-06,3.671E-06
5.850,2.600,-0.378,4E-06,3.871E-06
5.950,2.700,-0.377,2E-06,4.076E-06
6.050,2.800,-0.376,3E-06,4.28950000000002E-06
6.150,2.900,-0.375,3E-06,4.53350000000003E-06
6.250,3.000,-0.374,3E-06,4.77250000000005E-06
6.350,3.100,-0.373,3E-06,5.02450000000006E-06
6.450,3.200,-0.372,3E-06,5.26050000000007E-06
6.550,3.300,-0.371,3E-06,5.51650000000007E-06
6.650,3.400,-0.37,4E-06,5.76800000000008E-06
6.750,3.500,-0.369,3E-06,5.9895000000001E-06
6.850,3.600,-0.368,4E-06,6.25500000000011E-06
6.950,3.700,-0.367,2E-06,6.48500000000012E-06
7.050,3.800,-0.366,3E-06,6.75150000000013E-06
7.150,3.900,-0.365,2E-06,7.01800000000014E-06
7.250,4.000,-0.364,4E-06,7.30600000000014E-06
7.350,4.100,-0.363,3E-06,7.57550000000016E-06
7.450,4.200,-0.362,3E-06,7.82250000000017E-06
7.550,4.300,-0.361,2E-06,8.05800000000019E-06
7.650,4.400,-0.36,3E-06,8.32650000000021E-06
7.750,4.500,-0.359,3E-06,8.61150000000023E-06
7.850,4.600,-0.358,3E-06,8.88650000000025E-06
7.950,4.700,-0.357,3E-06,9.18650000000028E-06
8.050,4.800,-0.356,3E-06,9.5105000000003E-06
8.150,4.900,-0.355,4E-06,9.82900000000033E-06
8.250,5.000,-0.354,3E-06,1.01065000000003E-05
8.350,5.100,-0.353,2E-06,1.03860000000004E-05
8.450,5.200,-0.352,4E-06,1.07160000000004E-05
8.550,5.300,-0.351,2E-06,1.10120000000004E-05
8.650,5.400,-0.35,2E-06,1.13280000000004E-05
8.750,5.500,-0.349,3E-06,1.16475000000005E-05
8.850,5.600,-0.348,4E-06,1.20030000000005E-05
8.950,5.700,-0.347,4E-06,1.23390000000005E-05
9.050,5.800,-0.346,3E-06,1.27095000000005E-05
9.150,5.900,-0.345,4E-06,1.30650000000006E-05
