出力日時,2021/06/07 16:14:01
データソース,Nss1_1_1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.349,0.100,-0.233,1E-06,1.205E-07
3.449,0.200,-0.232,1E-06,2.795E-07
3.549,0.300,-0.231,2E-06,4.45E-07
3.649,0.400,-0.23,2E-06,6.5E-07
3.749,0.500,-0.229,2E-06,8.87000000000002E-07
3.849,0.600,-0.228,3E-06,1.1415E-06
3.949,0.700,-0.227,4E-06,1.414E-06
4.049,0.800,-0.226,4E-06,1.636E-06
4.149,0.900,-0.225,3E-06,1.8945E-06
4.249,1.000,-0.224,3E-06,2.17949999999999E-06
4.349,1.100,-0.223,3E-06,2.47249999999998E-06
4.449,1.200,-0.222,3E-06,2.80849999999998E-06
4.549,1.300,-0.221,3E-06,3.12949999999998E-06
4.649,1.400,-0.22,3E-06,3.48749999999998E-06
4.749,1.500,-0.219,5E-06,3.86249999999997E-06
4.849,1.600,-0.218,4E-06,4.18499999999998E-06
4.949,1.700,-0.217,3E-06,4.52949999999998E-06
5.049,1.800,-0.216,4E-06,4.92399999999998E-06
5.149,1.900,-0.215,3E-06,5.28049999999998E-06
5.249,2.000,-0.214,5E-06,5.65249999999998E-06
5.349,2.100,-0.213,4E-06,6.05699999999997E-06
5.449,2.200,-0.212,3E-06,6.42649999999996E-06
5.549,2.300,-0.211,3E-06,6.82749999999995E-06
5.649,2.400,-0.21,4E-06,7.24999999999993E-06
5.749,2.500,-0.209,4E-06,7.64499999999992E-06
5.849,2.600,-0.208,5E-06,8.06449999999995E-06
5.949,2.700,-0.207,5E-06,8.50949999999998E-06
6.049,2.800,-0.206,4E-06,8.95100000000001E-06
6.149,2.900,-0.205,3E-06,9.41550000000002E-06
6.249,3.000,-0.204,6E-06,9.87300000000004E-06
6.349,3.100,-0.203,4E-06,1.02970000000001E-05
6.449,3.200,-0.202,6E-06,1.07300000000001E-05
6.549,3.300,-0.201,5E-06,1.11615000000001E-05
6.649,3.400,-0.2,5E-06,1.16035000000001E-05
6.749,3.500,-0.199,4E-06,1.21060000000002E-05
6.849,3.600,-0.198,5E-06,1.26055000000002E-05
6.949,3.700,-0.197,5E-06,1.31335000000002E-05
7.049,3.800,-0.196,6E-06,1.36370000000002E-05
7.149,3.900,-0.195,6E-06,1.41870000000002E-05
7.249,4.000,-0.194,6E-06,1.47280000000002E-05
7.349,4.100,-0.193,4E-06,1.52780000000002E-05
7.449,4.200,-0.192,5E-06,1.58045000000002E-05
7.549,4.300,-0.191,6E-06,1.63620000000002E-05
7.649,4.400,-0.19,5E-06,1.69135000000003E-05
7.749,4.500,-0.189,5E-06,1.74935000000003E-05
7.849,4.600,-0.188,6E-06,1.80230000000003E-05
7.949,4.700,-0.187,7E-06,1.85675000000003E-05
8.049,4.800,-0.186,6E-06,1.91290000000003E-05
8.149,4.900,-0.185,6E-06,1.96960000000003E-05
8.249,5.000,-0.184,6E-06,2.02610000000003E-05
8.349,5.100,-0.183,6E-06,2.08550000000003E-05
8.449,5.200,-0.182,6E-06,2.14220000000003E-05
8.549,5.300,-0.181,6E-06,2.20170000000003E-05
8.649,5.400,-0.18,6E-06,2.26130000000003E-05
8.749,5.500,-0.179,6E-06,2.32230000000003E-05
8.849,5.600,-0.178,6E-06,2.38520000000003E-05
8.949,5.700,-0.177,6E-06,2.44500000000003E-05
9.049,5.800,-0.176,7E-06,2.50555000000003E-05
9.149,5.900,-0.175,6E-06,2.56950000000003E-05
9.249,6.000,-0.174,6E-06,2.62940000000003E-05
9.349,6.100,-0.173,7E-06,2.69035000000003E-05
9.449,6.200,-0.172,8E-06,2.75300000000003E-05
9.549,6.300,-0.171,7E-06,2.81735000000003E-05
9.649,6.400,-0.17,6E-06,2.88100000000003E-05
9.749,6.500,-0.169,5E-06,2.94565000000003E-05
9.849,6.600,-0.168,6E-06,3.01100000000003E-05
9.949,6.700,-0.167,7E-06,3.07295000000003E-05
10.049,6.800,-0.166,8E-06,3.13820000000002E-05
10.149,6.900,-0.165,7E-06,3.20485000000002E-05
10.249,7.000,-0.164,7E-06,3.27205000000001E-05
10.349,7.100,-0.163,6E-06,3.33940000000001E-05
10.449,7.200,-0.162,7E-06,3.40485E-05
10.549,7.300,-0.161,7E-06,3.47135E-05
10.649,7.400,-0.16,6E-06,3.53409999999999E-05
10.749,7.500,-0.159,7E-06,3.60174999999998E-05
10.849,7.600,-0.158,6E-06,3.66749999999998E-05
10.949,7.700,-0.157,7E-06,3.73534999999997E-05
11.049,7.800,-0.156,6E-06,3.79939999999997E-05
