出力日時,2021/06/07 16:22:04
データソース,Nss2_4_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.381,0.100,-0.271,1E-06,1.505E-07
3.481,0.200,-0.27,2E-06,3.31E-07
3.581,0.300,-0.269,2E-06,5.6E-07
3.681,0.400,-0.268,4E-06,8.18000000000002E-07
3.781,0.500,-0.267,2E-06,1.089E-06
3.881,0.600,-0.266,3E-06,1.3805E-06
3.981,0.700,-0.265,4E-06,1.681E-06
4.081,0.800,-0.264,3E-06,2.0085E-06
4.181,0.900,-0.263,3E-06,2.34849999999999E-06
4.281,1.000,-0.262,2E-06,2.65099999999998E-06
4.381,1.100,-0.261,4E-06,2.94199999999998E-06
4.481,1.200,-0.26,4E-06,3.29899999999997E-06
4.581,1.300,-0.259,4E-06,3.65599999999997E-06
4.681,1.400,-0.258,5E-06,4.00449999999997E-06
4.781,1.500,-0.257,3E-06,4.34049999999997E-06
4.881,1.600,-0.256,4E-06,4.71399999999996E-06
4.981,1.700,-0.255,3E-06,5.07749999999996E-06
5.081,1.800,-0.254,3E-06,5.43849999999996E-06
5.181,1.900,-0.253,4E-06,5.80799999999995E-06
5.281,2.000,-0.252,5E-06,6.16849999999995E-06
5.381,2.100,-0.251,4E-06,6.55299999999994E-06
5.481,2.200,-0.25,4E-06,6.95399999999993E-06
5.581,2.300,-0.249,4E-06,7.34999999999992E-06
5.681,2.400,-0.248,3E-06,7.73249999999993E-06
5.781,2.500,-0.247,3E-06,8.10049999999997E-06
5.881,2.600,-0.246,4E-06,8.479E-06
5.981,2.700,-0.245,4E-06,8.90900000000003E-06
6.081,2.800,-0.244,4E-06,9.32500000000007E-06
6.181,2.900,-0.243,3E-06,9.7395000000001E-06
6.281,3.000,-0.242,4E-06,1.01240000000001E-05
6.381,3.100,-0.241,6E-06,1.05600000000002E-05
6.481,3.200,-0.24,4E-06,1.09880000000002E-05
6.581,3.300,-0.239,5E-06,1.14155000000002E-05
6.681,3.400,-0.238,3E-06,1.18125000000002E-05
6.781,3.500,-0.237,4E-06,1.22390000000003E-05
6.881,3.600,-0.236,4E-06,1.26720000000003E-05
6.981,3.700,-0.235,5E-06,1.31045000000003E-05
7.081,3.800,-0.234,4E-06,1.35550000000003E-05
7.181,3.900,-0.233,5E-06,1.39805000000004E-05
7.281,4.000,-0.232,5E-06,1.44405000000004E-05
7.381,4.100,-0.231,4E-06,1.49040000000004E-05
7.481,4.200,-0.23,5E-06,1.53505000000005E-05
7.581,4.300,-0.229,5E-06,1.58365000000005E-05
7.681,4.400,-0.228,5E-06,1.62785000000005E-05
7.781,4.500,-0.227,4E-06,1.67270000000005E-05
7.881,4.600,-0.226,5E-06,1.71875000000005E-05
7.981,4.700,-0.225,3E-06,1.76685000000005E-05
8.081,4.800,-0.224,5E-06,1.81535000000005E-05
8.181,4.900,-0.223,4E-06,1.86410000000005E-05
8.281,5.000,-0.222,5E-06,1.91245000000006E-05
8.381,5.100,-0.221,5E-06,1.96095000000006E-05
8.481,5.200,-0.22,5E-06,2.00695000000006E-05
8.581,5.300,-0.219,5E-06,2.05795000000006E-05
8.681,5.400,-0.218,5E-06,2.10855000000006E-05
8.781,5.500,-0.217,5E-06,2.15695000000006E-05
8.881,5.600,-0.216,5E-06,2.20775000000006E-05
8.981,5.700,-0.215,5E-06,2.25565000000006E-05
9.081,5.800,-0.214,4E-06,2.30770000000006E-05
9.181,5.900,-0.213,5E-06,2.35935000000006E-05
9.281,6.000,-0.212,5E-06,2.40995000000007E-05
9.381,6.100,-0.211,4E-06,2.45640000000007E-05
9.481,6.200,-0.21,5E-06,2.50595000000007E-05
9.581,6.300,-0.209,6E-06,2.55530000000007E-05
9.681,6.400,-0.208,4E-06,2.60440000000007E-05
9.781,6.500,-0.207,4E-06,2.65430000000007E-05
9.881,6.600,-0.206,4E-06,2.70660000000007E-05
9.981,6.700,-0.205,5E-06,2.75795000000007E-05
10.081,6.800,-0.204,6E-06,2.81000000000007E-05
10.181,6.900,-0.203,6E-06,2.86400000000007E-05
10.281,7.000,-0.202,5E-06,2.91385000000007E-05
10.381,7.100,-0.201,5E-06,2.96365000000008E-05
10.481,7.200,-0.2,6E-06,3.01950000000008E-05
10.581,7.300,-0.199,6E-06,3.07300000000008E-05
10.681,7.400,-0.198,4E-06,3.12480000000008E-05
