出力日時,2021/06/07 16:27:04
データソース,ss1_1_1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.367,0.100,0.128,2E-06,5.9E-08
3.467,0.200,0.129,0,9.39999999999999E-08
3.567,0.300,0.13,0,1.01E-07
3.667,0.400,0.131,1E-06,1.535E-07
3.767,0.500,0.132,1E-06,2.075E-07
3.867,0.600,0.133,2E-06,2.09E-07
3.967,0.700,0.134,0,2.66E-07
4.067,0.800,0.135,0,3.27000000000001E-07
4.167,0.900,0.136,1E-06,3.64500000000001E-07
4.267,1.000,0.137,1E-06,4.23500000000002E-07
4.367,1.100,0.138,2E-06,4.82000000000002E-07
4.467,1.200,0.139,1E-06,5.355E-07
4.567,1.300,0.14,1E-06,6.14499999999999E-07
4.667,1.400,0.141,0,6.51999999999998E-07
4.767,1.500,0.142,1E-06,6.71499999999998E-07
4.867,1.600,0.143,1E-06,7.46499999999997E-07
4.967,1.700,0.144,1E-06,7.69499999999997E-07
5.067,1.800,0.145,0,7.89999999999996E-07
5.167,1.900,0.146,1E-06,8.57499999999995E-07
5.267,2.000,0.147,0,8.70999999999995E-07
5.367,2.100,0.148,-1E-06,8.92499999999994E-07
5.467,2.200,0.149,2E-06,9.50999999999994E-07
5.567,2.300,0.15,0,9.81999999999994E-07
5.667,2.400,0.151,0,1.02499999999999E-06
5.767,2.500,0.152,1E-06,1.08249999999999E-06
5.867,2.600,0.153,-1E-06,1.13249999999999E-06
5.967,2.700,0.154,1E-06,1.17049999999999E-06
6.067,2.800,0.155,1E-06,1.21349999999999E-06
6.167,2.900,0.156,0,1.27399999999999E-06
6.267,3.000,0.157,1E-06,1.33249999999999E-06
6.367,3.100,0.158,1E-06,1.40349999999999E-06
6.467,3.200,0.159,0,1.46099999999999E-06
6.567,3.300,0.16,1E-06,1.50449999999999E-06
6.667,3.400,0.161,1E-06,1.57249999999999E-06
6.767,3.500,0.162,1E-06,1.64349999999999E-06
6.867,3.600,0.163,0,1.72399999999999E-06
6.967,3.700,0.164,1E-06,1.79749999999999E-06
7.067,3.800,0.165,1E-06,1.88149999999998E-06
7.167,3.900,0.166,1E-06,1.95249999999999E-06
7.267,4.000,0.167,1E-06,1.98249999999999E-06
7.367,4.100,0.168,0,2.04499999999999E-06
7.467,4.200,0.169,1E-06,2.1425E-06
7.567,4.300,0.17,0,2.214E-06
7.667,4.400,0.171,0,2.28600000000001E-06
7.767,4.500,0.172,1E-06,2.35750000000002E-06
7.867,4.600,0.173,2E-06,2.40500000000002E-06
7.967,4.700,0.174,0,2.44600000000002E-06
8.067,4.800,0.175,0,2.49500000000003E-06
8.167,4.900,0.176,0,2.55900000000003E-06
8.267,5.000,0.177,2E-06,2.62600000000004E-06
8.367,5.100,0.178,1E-06,2.71450000000005E-06
8.467,5.200,0.179,1E-06,2.80750000000005E-06
8.567,5.300,0.18,1E-06,2.88950000000006E-06
8.667,5.400,0.181,1E-06,2.94450000000007E-06
8.767,5.500,0.182,1E-06,3.00150000000008E-06
8.867,5.600,0.183,0,3.05800000000008E-06
8.967,5.700,0.184,1E-06,3.12050000000009E-06
9.067,5.800,0.185,0,3.16500000000009E-06
9.167,5.900,0.186,2E-06,3.2530000000001E-06
9.267,6.000,0.187,2E-06,3.3370000000001E-06
9.367,6.100,0.188,1E-06,3.38750000000011E-06
9.467,6.200,0.189,1E-06,3.46250000000011E-06
9.567,6.300,0.19,2E-06,3.56100000000012E-06
9.667,6.400,0.191,1E-06,3.65150000000013E-06
9.767,6.500,0.192,1E-06,3.75250000000014E-06
9.867,6.600,0.193,1E-06,3.77750000000014E-06
9.967,6.700,0.194,1E-06,3.85050000000015E-06
10.067,6.800,0.195,1E-06,3.90250000000016E-06
10.167,6.900,0.196,1E-06,3.98650000000017E-06
10.267,7.000,0.197,1E-06,4.06850000000018E-06
10.367,7.100,0.198,0,4.14700000000019E-06
10.467,7.200,0.199,1E-06,4.2315000000002E-06
