出力日時,2021/06/21 13:48:46
データソース,hematite_H_S1_2_1_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.389,0.100,-0.344,2E-06,1.79E-07
3.489,0.200,-0.343,2E-06,3.61E-07
3.589,0.300,-0.342,2E-06,5.36000000000001E-07
3.689,0.400,-0.341,3E-06,7.13500000000001E-07
3.789,0.500,-0.34,3E-06,8.75500000000002E-07
3.889,0.600,-0.339,2E-06,1.031E-06
3.989,0.700,-0.338,2E-06,1.224E-06
4.089,0.800,-0.337,1E-06,1.3905E-06
4.189,0.900,-0.336,3E-06,1.6085E-06
4.289,1.000,-0.335,1E-06,1.82049999999999E-06
4.389,1.100,-0.334,2E-06,1.98099999999999E-06
4.489,1.200,-0.333,3E-06,2.17849999999999E-06
4.589,1.300,-0.332,1E-06,2.36849999999999E-06
4.689,1.400,-0.331,2E-06,2.59399999999999E-06
4.789,1.500,-0.33,3E-06,2.80449999999999E-06
4.889,1.600,-0.329,1E-06,3.03849999999999E-06
4.989,1.700,-0.328,2E-06,3.28599999999999E-06
5.089,1.800,-0.327,2E-06,3.52299999999999E-06
5.189,1.900,-0.326,2E-06,3.78099999999999E-06
5.289,2.000,-0.325,2E-06,4.054E-06
5.389,2.100,-0.324,2E-06,4.309E-06
5.489,2.200,-0.323,2E-06,4.53800000000001E-06
5.589,2.300,-0.322,3E-06,4.84650000000001E-06
5.689,2.400,-0.321,3E-06,5.16250000000001E-06
5.789,2.500,-0.32,3E-06,5.43250000000002E-06
5.889,2.600,-0.319,5E-06,5.72250000000002E-06
5.989,2.700,-0.318,3E-06,6.01550000000002E-06
6.089,2.800,-0.317,4E-06,6.28000000000003E-06
6.189,2.900,-0.316,3E-06,6.55650000000004E-06
6.289,3.000,-0.315,3E-06,6.83850000000004E-06
6.389,3.100,-0.314,2E-06,7.11000000000005E-06
6.489,3.200,-0.313,4E-06,7.39700000000005E-06
6.589,3.300,-0.312,3E-06,7.70150000000006E-06
6.689,3.400,-0.311,3E-06,7.97950000000007E-06
6.789,3.500,-0.31,4E-06,8.31200000000009E-06
6.889,3.600,-0.309,3E-06,8.65550000000012E-06
6.989,3.700,-0.308,4E-06,8.98800000000014E-06
7.089,3.800,-0.307,3E-06,9.30350000000017E-06
7.189,3.900,-0.306,3E-06,9.63450000000017E-06
7.289,4.000,-0.305,4E-06,9.9730000000002E-06
7.389,4.100,-0.304,4E-06,1.03090000000002E-05
7.489,4.200,-0.303,4E-06,1.06690000000003E-05
7.589,4.300,-0.302,3E-06,1.10155000000003E-05
7.689,4.400,-0.301,4E-06,1.13660000000003E-05
7.789,4.500,-0.3,3E-06,1.17275000000004E-05
7.889,4.600,-0.299,4E-06,1.20700000000004E-05
7.989,4.700,-0.298,5E-06,1.24305000000004E-05
8.089,4.800,-0.297,4E-06,1.28270000000005E-05
8.189,4.900,-0.296,5E-06,1.32345000000005E-05
8.289,5.000,-0.295,5E-06,1.36095000000006E-05
8.389,5.100,-0.294,4E-06,1.39950000000006E-05
8.489,5.200,-0.293,3E-06,1.43955000000006E-05
8.589,5.300,-0.292,4E-06,1.47930000000007E-05
8.689,5.400,-0.291,5E-06,1.52155000000007E-05
8.789,5.500,-0.29,5E-06,1.56265000000007E-05
8.889,5.600,-0.289,4E-06,1.60300000000008E-05
8.989,5.700,-0.288,6E-06,1.64240000000008E-05
9.089,5.800,-0.287,4E-06,1.68770000000008E-05
9.189,5.900,-0.286,4E-06,1.72890000000009E-05
9.289,6.000,-0.285,5E-06,1.77125000000009E-05
9.389,6.100,-0.284,5E-06,1.81165000000009E-05
9.489,6.200,-0.283,4E-06,1.85820000000009E-05
9.589,6.300,-0.282,4E-06,1.90230000000009E-05
9.689,6.400,-0.281,5E-06,1.9444500000001E-05
9.789,6.500,-0.28,4E-06,1.9867000000001E-05
9.889,6.600,-0.279,5E-06,2.0330500000001E-05
9.989,6.700,-0.278,4E-06,2.0769000000001E-05
10.089,6.800,-0.277,4E-06,2.1223000000001E-05
10.189,6.900,-0.276,6E-06,2.1649000000001E-05
10.289,7.000,-0.275,7E-06,2.21285000000011E-05
10.389,7.100,-0.274,4E-06,2.25780000000011E-05
10.489,7.200,-0.273,6E-06,2.30200000000011E-05
10.589,7.300,-0.272,6E-06,2.34810000000011E-05
10.689,7.400,-0.271,4E-06,2.39400000000011E-05
10.789,7.500,-0.27,3E-06,2.44225000000011E-05
10.889,7.600,-0.269,5E-06,2.48945000000012E-05
10.989,7.700,-0.268,5E-06,2.53675000000012E-05
11.089,7.800,-0.267,6E-06,2.58380000000012E-05
11.189,7.900,-0.266,5E-06,2.63215000000012E-05
11.289,8.000,-0.265,5E-06,2.68025000000012E-05
11.389,8.100,-0.264,5E-06,2.72945000000012E-05
11.489,8.200,-0.263,5E-06,2.78015000000012E-05
11.589,8.300,-0.262,6E-06,2.83100000000013E-05
11.689,8.400,-0.261,6E-06,2.87940000000013E-05
11.789,8.500,-0.26,6E-06,2.93380000000013E-05
11.889,8.600,-0.259,6E-06,2.98320000000013E-05
11.989,8.700,-0.258,7E-06,3.03675000000014E-05
12.089,8.800,-0.257,4E-06,3.08670000000013E-05
12.189,8.900,-0.256,4E-06,3.13830000000013E-05
12.289,9.000,-0.255,5E-06,3.18965000000013E-05
12.389,9.100,-0.254,5E-06,3.24385000000013E-05
12.489,9.200,-0.253,7E-06,3.29435000000013E-05
12.589,9.300,-0.252,6E-06,3.34950000000013E-05
12.689,9.400,-0.251,5E-06,3.40235000000013E-05
12.789,9.500,-0.25,6E-06,3.45850000000013E-05
12.889,9.600,-0.249,6E-06,3.51240000000013E-05
12.989,9.700,-0.248,4E-06,3.56710000000013E-05
13.089,9.800,-0.247,7E-06,3.62035000000012E-05
13.189,9.900,-0.246,6E-06,3.67730000000013E-05
13.289,10.000,-0.245,7E-06,3.73535000000014E-05
13.389,10.100,-0.244,6E-06,3.79350000000014E-05
13.489,10.200,-0.243,6E-06,3.84930000000013E-05
13.589,10.300,-0.242,8E-06,3.90670000000014E-05
13.689,10.400,-0.241,6E-06,3.96420000000014E-05
13.789,10.500,-0.24,7E-06,4.02615000000015E-05
13.889,10.600,-0.239,5E-06,4.08555000000015E-05
13.989,10.700,-0.238,6E-06,4.14390000000015E-05
14.089,10.800,-0.237,7E-06,4.20615000000015E-05
14.189,10.900,-0.236,7E-06,4.26655000000016E-05
14.289,11.000,-0.235,6E-06,4.32920000000016E-05
14.389,11.100,-0.234,7E-06,4.39325000000016E-05
14.489,11.200,-0.233,7E-06,4.45505000000016E-05
14.589,11.300,-0.232,5E-06,4.51525000000017E-05
14.689,11.400,-0.231,7E-06,4.57705000000017E-05
14.789,11.500,-0.23,7E-06,4.63965000000017E-05
14.889,11.600,-0.229,6E-06,4.70280000000017E-05
14.989,11.700,-0.228,6E-06,4.76630000000018E-05
15.089,11.800,-0.227,6E-06,4.82830000000018E-05
15.189,11.900,-0.226,7E-06,4.89255000000018E-05
15.289,12.000,-0.225,6E-06,4.95590000000018E-05
15.389,12.100,-0.224,7E-06,5.02335000000018E-05
15.489,12.200,-0.223,6E-06,5.08690000000018E-05
15.589,12.300,-0.222,7E-06,5.15515000000019E-05
15.689,12.400,-0.221,7E-06,5.22115000000018E-05
15.789,12.500,-0.22,7E-06,5.29155000000019E-05
15.889,12.600,-0.219,9E-06,5.35785000000019E-05
15.989,12.700,-0.218,7E-06,5.42435000000019E-05
16.089,12.800,-0.217,7E-06,5.49205000000019E-05
16.189,12.900,-0.216,7E-06,5.55965000000019E-05
16.289,13.000,-0.215,7E-06,5.62905000000019E-05
16.389,13.100,-0.214,7E-06,5.6977500000002E-05
16.489,13.200,-0.213,6E-06,5.7687000000002E-05
16.589,13.300,-0.212,7E-06,5.8398500000002E-05
16.689,13.400,-0.211,7E-06,5.9119500000002E-05
16.789,13.500,-0.21,7E-06,5.9816500000002E-05
16.889,13.600,-0.209,7E-06,6.0549500000002E-05
16.989,13.700,-0.208,8E-06,6.1283000000002E-05
17.089,13.800,-0.207,8E-06,6.20040000000019E-05
17.189,13.900,-0.206,7E-06,6.27365000000019E-05
17.289,14.000,-0.205,7E-06,6.35015000000017E-05
17.389,14.100,-0.204,7E-06,6.42525000000016E-05
17.489,14.200,-0.203,8E-06,6.49770000000016E-05
17.589,14.300,-0.202,7E-06,6.57445000000014E-05
17.689,14.400,-0.201,7E-06,6.64925000000013E-05
17.789,14.500,-0.2,8E-06,6.72400000000011E-05
17.889,14.600,-0.199,8E-06,6.80030000000011E-05
17.989,14.700,-0.198,8E-06,6.8788000000001E-05
18.089,14.800,-0.197,9E-06,6.95625000000007E-05
18.189,14.900,-0.196,9E-06,7.03685000000006E-05
18.289,15.000,-0.195,8E-06,7.11750000000003E-05
18.389,15.100,-0.194,8E-06,7.20010000000001E-05
18.489,15.200,-0.193,9E-06,7.28184999999999E-05
18.589,15.300,-0.192,8E-06,7.36449999999996E-05
18.689,15.400,-0.191,9E-06,7.44624999999994E-05
18.789,15.500,-0.19,9E-06,7.52834999999992E-05
18.889,15.600,-0.189,6E-06,7.6110999999999E-05
18.989,15.700,-0.188,8E-06,7.69349999999989E-05
19.089,15.800,-0.187,9E-06,7.77554999999985E-05
19.189,15.900,-0.186,9E-06,7.86254999999983E-05
19.289,16.000,-0.185,8E-06,7.94739999999981E-05
19.389,16.100,-0.184,8E-06,8.02979999999978E-05
19.489,16.200,-0.183,9E-06,8.11854999999976E-05
19.589,16.300,-0.182,9E-06,8.20714999999973E-05
19.689,16.400,-0.181,7E-06,8.29554999999971E-05
19.789,16.500,-0.18,9E-06,8.38234999999968E-05
19.889,16.600,-0.179,9E-06,8.47144999999965E-05
19.989,16.700,-0.178,9E-06,8.56184999999963E-05
20.089,16.800,-0.177,9E-06,8.6499499999996E-05
20.189,16.900,-0.176,9E-06,8.73724999999958E-05
20.289,17.000,-0.175,9E-06,8.82494999999956E-05
20.389,17.100,-0.174,9E-06,8.91304999999953E-05
20.489,17.200,-0.173,1E-05,9.00579999999952E-05
20.589,17.300,-0.172,1E-05,9.0989999999995E-05
20.689,17.400,-0.171,1.1E-05,9.19174999999947E-05
20.789,17.500,-0.17,9E-06,9.28414999999945E-05
20.889,17.600,-0.169,1E-05,9.37639999999943E-05
20.989,17.700,-0.168,1E-05,9.47149999999942E-05
21.089,17.800,-0.167,9E-06,9.5641499999994E-05
21.189,17.900,-0.166,1E-05,9.66039999999938E-05
21.289,18.000,-0.165,1E-05,9.75399999999937E-05
21.389,18.100,-0.164,1E-05,9.85119999999935E-05
21.489,18.200,-0.163,9E-06,9.94624999999934E-05
21.589,18.300,-0.162,1E-05,0.000100409999999993
21.689,18.400,-0.161,1E-05,0.000101380999999993
21.789,18.500,-0.16,8E-06,0.000102334999999993
21.889,18.600,-0.159,1.1E-05,0.000103294499999993
21.989,18.700,-0.158,1.1E-05,0.000104295499999993
22.089,18.800,-0.157,1E-05,0.000105244999999992
22.189,18.900,-0.156,1E-05,0.000106252999999992
22.289,19.000,-0.155,1E-05,0.000107254999999992
22.389,19.100,-0.154,1E-05,0.000108254999999992
22.489,19.200,-0.153,9E-06,0.000109271499999992
22.589,19.300,-0.152,1E-05,0.000110294999999992
22.689,19.400,-0.151,1E-05,0.000111296999999992
22.789,19.500,-0.15,1.1E-05,0.000112321499999991
22.889,19.600,-0.149,1.1E-05,0.000113359499999991
22.989,19.700,-0.148,1E-05,0.000114377999999991
23.089,19.800,-0.147,1.1E-05,0.000115390499999991
23.189,19.900,-0.146,1.2E-05,0.000116449999999991
23.289,20.000,-0.145,1.2E-05,0.000117523999999991
23.389,20.100,-0.144,1E-05,0.000118601999999991
23.489,20.200,-0.143,1.1E-05,0.000119699499999991
23.589,20.300,-0.142,1.2E-05,0.000120772999999991
23.689,20.400,-0.141,1.2E-05,0.00012184299999999
23.789,20.500,-0.14,9E-06,0.00012292649999999
23.889,20.600,-0.139,1E-05,0.000124011999999991
23.989,20.700,-0.138,1.1E-05,0.000125111499999991
24.089,20.800,-0.137,1.2E-05,0.000126200999999991
