出力日時,2021/06/09 14:35:51
データソース,VS1-4_LSV
表示対象ノード,Root\ECstat-301\LSV
Time(s),NodeTime(s),OutputVoltage(V),Current(A),Capacity(C)
3.372,0.100,-0.304,2E-06,1.96E-07
3.472,0.200,-0.303,3E-06,4.705E-07
3.572,0.300,-0.302,4E-06,7.34000000000002E-07
3.672,0.400,-0.301,2E-06,1.02E-06
3.772,0.500,-0.3,4E-06,1.327E-06
3.872,0.600,-0.299,4E-06,1.584E-06
3.972,0.700,-0.298,3E-06,1.87950000000001E-06
4.072,0.800,-0.297,4E-06,2.17500000000001E-06
4.172,0.900,-0.296,3E-06,2.5005E-06
4.272,1.000,-0.295,4E-06,2.79699999999999E-06
4.372,1.100,-0.294,5E-06,3.13049999999999E-06
4.472,1.200,-0.293,3E-06,3.41249999999999E-06
4.572,1.300,-0.292,2E-06,3.70999999999999E-06
4.672,1.400,-0.291,3E-06,4.04249999999998E-06
4.772,1.500,-0.29,5E-06,4.39349999999998E-06
4.872,1.600,-0.289,4E-06,4.75099999999998E-06
4.972,1.700,-0.288,4E-06,5.08299999999998E-06
5.072,1.800,-0.287,4E-06,5.43999999999998E-06
5.172,1.900,-0.286,3E-06,5.77049999999998E-06
5.272,2.000,-0.285,2E-06,6.13799999999998E-06
5.372,2.100,-0.284,4E-06,6.48699999999997E-06
5.472,2.200,-0.283,2E-06,6.84599999999996E-06
5.572,2.300,-0.282,6E-06,7.20699999999996E-06
5.672,2.400,-0.281,4E-06,7.59099999999995E-06
5.772,2.500,-0.28,4E-06,7.94499999999998E-06
5.872,2.600,-0.279,4E-06,8.30500000000001E-06
5.972,2.700,-0.278,4E-06,8.65600000000003E-06
6.072,2.800,-0.277,4E-06,9.04900000000006E-06
6.172,2.900,-0.276,3E-06,9.40450000000009E-06
6.272,3.000,-0.275,3E-06,9.79350000000012E-06
6.372,3.100,-0.274,2E-06,1.02050000000002E-05
6.472,3.200,-0.273,6E-06,1.06140000000002E-05
6.572,3.300,-0.272,4E-06,1.10250000000002E-05
6.672,3.400,-0.271,4E-06,1.14290000000002E-05
6.772,3.500,-0.27,3E-06,1.18135000000003E-05
6.872,3.600,-0.269,4E-06,1.22270000000003E-05
6.972,3.700,-0.268,4E-06,1.26260000000003E-05
7.072,3.800,-0.267,4E-06,1.30300000000004E-05
7.172,3.900,-0.266,5E-06,1.34485000000004E-05
7.272,4.000,-0.265,4E-06,1.38520000000004E-05
7.372,4.100,-0.264,6E-06,1.42660000000005E-05
7.472,4.200,-0.263,5E-06,1.47045000000005E-05
7.572,4.300,-0.262,6E-06,1.51180000000005E-05
7.672,4.400,-0.261,4E-06,1.55390000000006E-05
7.772,4.500,-0.26,4E-06,1.59770000000006E-05
7.872,4.600,-0.259,4E-06,1.64070000000006E-05
7.972,4.700,-0.258,4E-06,1.68980000000006E-05
8.072,4.800,-0.257,6E-06,1.73690000000006E-05
8.172,4.900,-0.256,5E-06,1.78025000000006E-05
8.272,5.000,-0.255,5E-06,1.82225000000007E-05
8.372,5.100,-0.254,5E-06,1.86795000000007E-05
8.472,5.200,-0.253,3E-06,1.91365000000007E-05
8.572,5.300,-0.252,4E-06,1.95740000000007E-05
8.672,5.400,-0.251,6E-06,2.00240000000007E-05
8.772,5.500,-0.25,5E-06,2.05115000000008E-05
8.872,5.600,-0.249,5E-06,2.09635000000008E-05
8.972,5.700,-0.248,6E-06,2.14230000000008E-05
9.072,5.800,-0.247,6E-06,2.19100000000008E-05
9.172,5.900,-0.246,5E-06,2.23745000000009E-05
9.272,6.000,-0.245,6E-06,2.28790000000009E-05
9.372,6.100,-0.244,5E-06,2.33575000000009E-05
9.472,6.200,-0.243,5E-06,2.38735000000009E-05
9.572,6.300,-0.242,5E-06,2.43655000000009E-05
9.672,6.400,-0.241,4E-06,2.48680000000009E-05
9.772,6.500,-0.24,5E-06,2.54045000000009E-05
9.872,6.600,-0.239,5E-06,2.59085000000009E-05
9.972,6.700,-0.238,6E-06,2.64350000000009E-05
10.072,6.800,-0.237,5E-06,2.69715000000009E-05
10.172,6.900,-0.236,3E-06,2.74955000000009E-05
10.272,7.000,-0.235,5E-06,2.80045000000009E-05
10.372,7.100,-0.234,5E-06,2.85225000000009E-05
10.472,7.200,-0.233,5E-06,2.90345000000009E-05
10.572,7.300,-0.232,5E-06,2.9553500000001E-05
10.672,7.400,-0.231,5E-06,3.0076500000001E-05
10.772,7.500,-0.23,6E-06,3.0617000000001E-05
10.872,7.600,-0.229,7E-06,3.1169500000001E-05
10.972,7.700,-0.228,6E-06,3.16810000000011E-05
11.072,7.800,-0.227,6E-06,3.2242000000001E-05
11.172,7.900,-0.226,4E-06,3.2777000000001E-05
11.272,8.000,-0.225,5E-06,3.3313500000001E-05
11.372,8.100,-0.224,7E-06,3.3903500000001E-05
11.472,8.200,-0.223,6E-06,3.44740000000011E-05
11.572,8.300,-0.222,5E-06,3.50285000000011E-05
11.672,8.400,-0.221,5E-06,3.55905000000011E-05
11.772,8.500,-0.22,6E-06,3.61710000000012E-05
11.872,8.600,-0.219,6E-06,3.67540000000012E-05
11.972,8.700,-0.218,7E-06,3.73315000000012E-05
12.072,8.800,-0.217,7E-06,3.79495000000012E-05
12.172,8.900,-0.216,6E-06,3.85280000000012E-05
12.272,9.000,-0.215,7E-06,3.91365000000013E-05
12.372,9.100,-0.214,7E-06,3.97195000000013E-05
12.472,9.200,-0.213,6E-06,4.03130000000013E-05
12.572,9.300,-0.212,5E-06,4.09455000000013E-05
12.672,9.400,-0.211,6E-06,4.15570000000013E-05
12.772,9.500,-0.21,6E-06,4.21650000000014E-05
12.872,9.600,-0.209,6E-06,4.27750000000014E-05
12.972,9.700,-0.208,5E-06,4.33705000000014E-05
13.072,9.800,-0.207,6E-06,4.39680000000014E-05
13.172,9.900,-0.206,6E-06,4.45770000000015E-05
13.272,10.000,-0.205,6E-06,4.52060000000015E-05
13.372,10.100,-0.204,6E-06,4.58280000000016E-05
13.472,10.200,-0.203,7E-06,4.64805000000016E-05
13.572,10.300,-0.202,8E-06,4.70990000000016E-05
13.672,10.400,-0.201,7E-06,4.77585000000016E-05
13.772,10.500,-0.2,7E-06,4.84045000000017E-05
13.872,10.600,-0.199,8E-06,4.90600000000017E-05
13.972,10.700,-0.198,7E-06,4.97555000000017E-05
14.072,10.800,-0.197,8E-06,5.03870000000017E-05
14.172,10.900,-0.196,8E-06,5.10420000000017E-05
14.272,11.000,-0.195,7E-06,5.17515000000017E-05
14.372,11.100,-0.194,8E-06,5.24340000000018E-05
14.472,11.200,-0.193,7E-06,5.30875000000018E-05
14.572,11.300,-0.192,6E-06,5.37340000000018E-05
14.672,11.400,-0.191,6E-06,5.43920000000018E-05
14.772,11.500,-0.19,8E-06,5.50820000000018E-05
14.872,11.600,-0.189,8E-06,5.57970000000019E-05
14.972,11.700,-0.188,9E-06,5.65055000000019E-05
15.072,11.800,-0.187,8E-06,5.72310000000018E-05
15.172,11.900,-0.186,7E-06,5.79215000000019E-05
15.272,12.000,-0.185,7E-06,5.86175000000019E-05
15.372,12.100,-0.184,9E-06,5.93345000000019E-05
15.472,12.200,-0.183,7E-06,6.00315000000019E-05
15.572,12.300,-0.182,6E-06,6.07410000000019E-05
15.672,12.400,-0.181,6E-06,6.14530000000019E-05
15.772,12.500,-0.18,6E-06,6.21930000000018E-05
15.872,12.600,-0.179,9E-06,6.29045000000018E-05
15.972,12.700,-0.178,7E-06,6.36315000000018E-05
16.072,12.800,-0.177,7E-06,6.44015000000017E-05
16.172,12.900,-0.176,7E-06,6.51445000000017E-05
16.272,13.000,-0.175,8E-06,6.59110000000016E-05
16.372,13.100,-0.174,7E-06,6.66355000000016E-05
16.472,13.200,-0.173,7E-06,6.74035000000014E-05
16.572,13.300,-0.172,8E-06,6.81700000000013E-05
16.672,13.400,-0.171,9E-06,6.89255000000011E-05
16.772,13.500,-0.17,6E-06,6.96880000000011E-05
16.872,13.600,-0.169,8E-06,7.04880000000008E-05
16.972,13.700,-0.168,8E-06,7.12550000000006E-05
17.072,13.800,-0.167,8E-06,7.20280000000004E-05
17.172,13.900,-0.166,8E-06,7.28110000000002E-05
17.272,14.000,-0.165,8E-06,7.3568E-05
17.372,14.100,-0.164,8E-06,7.4383E-05
17.472,14.200,-0.163,8E-06,7.51619999999998E-05
17.572,14.300,-0.162,7E-06,7.59624999999997E-05
17.672,14.400,-0.161,8E-06,7.67859999999995E-05
17.772,14.500,-0.16,8E-06,7.75639999999994E-05
17.872,14.600,-0.159,7E-06,7.83604999999991E-05
17.972,14.700,-0.158,9E-06,7.91784999999989E-05
18.072,14.800,-0.157,8E-06,7.99999999999987E-05
18.172,14.900,-0.156,9E-06,8.08224999999984E-05
18.272,15.000,-0.155,9E-06,8.16594999999981E-05
18.372,15.100,-0.154,8E-06,8.25159999999979E-05
18.472,15.200,-0.153,7E-06,8.33584999999977E-05
18.572,15.300,-0.152,8E-06,8.41909999999975E-05
18.672,15.400,-0.151,9E-06,8.50324999999971E-05
18.772,15.500,-0.15,8E-06,8.5896999999997E-05
18.872,15.600,-0.149,8E-06,8.67169999999968E-05
18.972,15.700,-0.148,1.1E-05,8.75444999999964E-05
19.072,15.800,-0.147,9E-06,8.84214999999962E-05
19.172,15.900,-0.146,9E-06,8.9290499999996E-05
19.272,16.000,-0.145,7E-06,9.01254999999957E-05
19.372,16.100,-0.144,9E-06,9.10174999999955E-05
19.472,16.200,-0.143,8E-06,9.18989999999953E-05
19.572,16.300,-0.142,9E-06,9.2771499999995E-05
19.672,16.400,-0.141,9E-06,9.36244999999948E-05
