2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2020/10/23 17:01

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,  2216.80000,   676.20000
    108.66,  2234.60000,   661.60000
    109.15,  2246.90000,   650.70000
    109.65,  2279.50000,   639.80000
    110.14,  2290.30000,   635.20000
    110.63,  2299.20000,   628.00000
    111.13,  2314.30000,   611.80000
    111.62,  2308.40000,   591.10000
    112.11,  2315.40000,   579.50000
    112.60,  2337.80000,   576.60000
    113.10,  2322.00000,   579.30000
    113.59,  2334.10000,   589.60000
    114.08,  2357.90000,   579.30000
    114.58,  2349.90000,   577.90000
    115.07,  2391.00000,   574.10000
    115.56,  2408.30000,   570.60000
    116.06,  2396.50000,   578.10000
    116.55,  2402.70000,   573.90000
    117.04,  2397.10000,   566.90000
    117.53,  2374.50000,   562.10000
    118.03,  2404.20000,   553.30000
    118.52,  2405.90000,   559.30000
    119.01,  2396.40000,   583.10000
    119.51,  2488.20000,   594.10000
    120.00,  2572.80000,   605.90000
    120.49,  2606.10000,   610.90000
    120.98,  2606.80000,   610.00000
    121.48,  2527.80000,   610.40000
    121.97,  2423.40000,   627.40000
    122.46,  2412.20000,   639.10000
    122.95,  2434.60000,   642.20000
    123.45,  2465.90000,   656.60000
    123.94,  2474.50000,   664.80000
    124.43,  2501.00000,   666.30000
    124.92,  2538.60000,   668.30000
    125.42,  2538.30000,   676.20000
    125.91,  2551.80000,   687.80000
    126.40,  2542.90000,   697.00000
    126.89,  2520.70000,   710.90000
    127.39,  2505.50000,   725.70000
    127.88,  2498.70000,   736.20000
    128.37,  2491.20000,   751.90000
    128.86,  2516.70000,   754.90000
    129.35,  2521.20000,   740.10000
    129.85,  2538.00000,   735.00000
    130.34,  2523.60000,   741.60000
    130.83,  2519.30000,   757.40000
    131.32,  2519.80000,   778.70000
    131.81,  2528.80000,   788.60000
    132.31,  2530.80000,   798.20000
    132.80,  2532.20000,   799.20000
    133.29,  2512.10000,   802.90000
    133.78,  2520.60000,   804.10000
    134.27,  2537.70000,   811.30000
    134.77,  2548.20000,   816.10000
    135.26,  2573.20000,   827.40000
    135.75,  2571.60000,   828.10000
    136.24,  2586.40000,   833.70000
    136.73,  2572.20000,   836.30000
    137.23,  2589.70000,   831.10000
    137.72,  2581.00000,   831.20000
    138.21,  2578.20000,   839.50000
    138.70,  2566.50000,   842.60000
    139.19,  2603.10000,   853.60000
    139.68,  2586.50000,   869.40000
    140.18,  2592.60000,   869.70000
    140.67,  2600.60000,   874.40000
    141.16,  2599.30000,   880.10000
    141.65,  2587.70000,   880.20000
    142.14,  2587.10000,   885.40000
    142.63,  2603.60000,   898.00000
    143.13,  2602.80000,   908.60000
    143.62,  2642.20000,   914.20000
    144.11,  2641.10000,   923.50000
    144.60,  2599.90000,   935.10000
    145.09,  2586.60000,   939.70000
    145.58,  2645.80000,   947.90000
    146.07,  2661.80000,   959.70000
    146.56,  2678.70000,   966.00000
    147.06,  2671.20000,   968.40000
    147.55,  2635.00000,   975.60000
    148.04,  2596.10000,   982.30000
    148.53,  2622.50000,   999.00000
    149.02,  2593.80000,  1018.00000
    149.51,  2663.00000,  1031.70000
    150.00,  2722.30000,  1036.90000
    150.49,  2753.50000,  1038.30000
    150.99,  2754.40000,  1052.70000
    151.48,  2731.00000,  1070.20000
    151.97,  2647.30000,  1099.70000
    152.46,  2650.00000,  1126.80000
    152.95,  2627.70000,  1150.70000
    153.44,  2627.50000,  1168.60000
    153.93,  2645.30000,  1182.40000
    154.42,  2665.90000,  1193.40000
    154.91,  2648.60000,  1214.70000
    155.40,  2644.30000,  1228.60000
    155.89,  2634.20000,  1226.60000
    156.39,  2648.50000,  1244.40000
    156.88,  2615.30000,  1268.50000
    157.37,  2616.60000,  1292.50000
    157.86,  2618.20000,  1311.90000
    158.35,  2633.40000,  1319.20000
    158.84,  2659.10000,  1309.30000
    159.33,  2706.90000,  1325.40000
    159.82,  2707.90000,  1355.20000
    160.31,  2718.10000,  1389.00000
    160.80,  2750.40000,  1418.40000
    161.29,  2707.80000,  1430.90000
    161.78,  2683.20000,  1438.80000
    162.27,  2656.30000,  1449.60000
    162.76,  2652.70000,  1460.40000
    163.25,  2659.10000,  1486.20000
    163.74,  2685.30000,  1515.80000
    164.23,  2689.80000,  1524.90000
    164.72,  2720.30000,  1535.60000
    165.21,  2696.20000,  1542.30000
    165.70,  2679.80000,  1545.90000
    166.20,  2709.80000,  1568.20000
    166.69,  2724.90000,  1592.80000
    167.18,  2739.80000,  1615.20000
    167.67,  2740.70000,  1642.30000
    168.16,  2714.20000,  1659.80000
    168.65,  2667.30000,  1660.60000
    169.14,  2698.70000,  1671.80000
    169.63,  2696.70000,  1676.00000
    170.12,  2687.40000,  1685.70000
    170.61,  2675.50000,  1694.80000
    171.10,  2724.90000,  1692.60000
    171.59,  2720.20000,  1673.80000
    172.08,  2741.20000,  1657.50000
    172.57,  2744.10000,  1643.50000
    173.06,  2741.00000,  1644.30000
    173.55,  2723.80000,  1641.20000
    174.04,  2705.10000,  1649.60000
    174.53,  2694.50000,  1643.50000
    175.02,  2685.60000,  1653.10000
    175.50,  2715.40000,  1666.20000
    175.99,  2748.50000,  1678.50000
    176.48,  2781.00000,  1678.40000
    176.97,  2763.10000,  1685.00000
    177.46,  2764.60000,  1669.90000
    177.95,  2724.70000,  1680.10000
    178.44,  2700.10000,  1689.30000
    178.93,  2681.00000,  1684.10000
    179.42,  2702.60000,  1669.50000
    179.91,  2722.40000,  1648.30000
    180.40,  2737.30000,  1624.70000
    180.89,  2742.70000,  1626.80000
    181.38,  2723.60000,  1636.80000
    181.87,  2714.40000,  1649.00000
    182.36,  2710.00000,  1661.80000
    182.85,  2686.20000,  1665.00000
    183.34,  2712.90000,  1662.60000
    183.83,  2722.50000,  1663.20000
    184.32,  2717.20000,  1660.70000
    184.81,  2756.00000,  1658.50000
    185.29,  2755.70000,  1655.40000
    185.78,  2724.90000,  1649.40000
    186.27,  2740.40000,  1648.40000
    186.76,  2724.80000,  1651.50000
    187.25,  2696.80000,  1646.90000
    187.74,  2761.70000,  1643.20000
    188.23,  2787.60000,  1636.80000
    188.72,  2808.90000,  1622.00000
    189.21,  2805.90000,  1617.30000
    189.70,  2775.80000,  1624.90000
    190.19,  2745.50000,  1624.60000
    190.67,  2735.20000,  1625.80000
    191.16,  2731.30000,  1624.60000
    191.65,  2731.00000,  1619.20000
    192.14,  2713.00000,  1619.70000
    192.63,  2737.20000,  1627.30000
    193.12,  2747.00000,  1636.10000
    193.61,  2733.70000,  1645.50000
    194.10,  2750.00000,  1647.90000
    194.59,  2742.10000,  1650.90000
    195.07,  2735.20000,  1656.20000
    195.56,  2754.00000,  1645.30000
    196.05,  2732.90000,  1636.30000
    196.54,  2722.80000,  1635.70000
    197.03,  2740.00000,  1638.40000
    197.52,  2778.00000,  1646.10000
    198.01,  2786.40000,  1660.90000
    198.49,  2790.00000,  1654.40000
    198.98,  2781.20000,  1648.40000
    199.47,  2743.10000,  1635.60000
    199.96,  2730.10000,  1634.50000
    200.45,  2744.50000,  1631.40000
    200.94,  2723.60000,  1633.30000
    201.43,  2727.70000,  1625.00000
    201.91,  2720.50000,  1614.30000
    202.40,  2712.60000,  1604.20000
    202.89,  2715.40000,  1599.40000
    203.38,  2738.20000,  1598.50000
    203.87,  2737.70000,  1604.10000
    204.36,  2726.60000,  1607.80000
    204.84,  2725.10000,  1601.60000
    205.33,  2740.30000,  1600.40000
    205.82,  2754.20000,  1597.80000
    206.31,  2752.00000,  1599.60000
    206.80,  2745.90000,  1604.80000
    207.28,  2750.80000,  1601.70000
    207.77,  2760.30000,  1601.50000
    208.26,  2776.10000,  1601.40000
    208.75,  2788.90000,  1597.10000
    209.24,  2770.30000,  1598.10000
    209.72,  2777.70000,  1594.60000
    210.21,  2787.60000,  1580.60000
    210.70,  2759.60000,  1592.40000
    211.19,  2770.10000,  1598.50000
    211.68,  2781.80000,  1598.20000
    212.16,  2786.90000,  1609.90000
    212.65,  2791.10000,  1615.30000
    213.14,  2781.30000,  1616.40000
    213.63,  2766.50000,  1624.30000
    214.12,  2744.50000,  1623.30000
    214.60,  2759.10000,  1619.00000
    215.09,  2778.00000,  1626.40000
    215.58,  2776.30000,  1634.60000
    216.07,  2775.90000,  1642.30000
    216.55,  2779.20000,  1639.30000
    217.04,  2711.10000,  1647.20000
    217.53,  2707.40000,  1645.40000
    218.02,  2706.90000,  1655.30000
    218.50,  2723.60000,  1658.10000
    218.99,  2748.70000,  1662.30000
    219.48,  2773.00000,  1673.90000
    219.97,  2736.20000,  1686.90000
    220.45,  2745.20000,  1698.40000
    220.94,  2736.60000,  1713.00000
    221.43,  2752.90000,  1725.90000
    221.92,  2775.20000,  1738.30000
    222.40,  2772.00000,  1762.00000
    222.89,  2760.60000,  1775.20000
    223.38,  2781.60000,  1800.40000
    223.86,  2793.00000,  1824.70000
    224.35,  2813.30000,  1852.90000
    224.84,  2816.10000,  1872.20000
    225.33,  2801.00000,  1895.50000
    225.81,  2771.30000,  1905.00000
    226.30,  2755.20000,  1922.60000
    226.79,  2749.90000,  1937.60000
    227.27,  2742.30000,  1944.00000
    227.76,  2748.00000,  1951.10000
    228.25,  2777.10000,  1957.20000
    228.74,  2790.50000,  1966.20000
    229.22,  2806.30000,  1988.30000
    229.71,  2794.00000,  2004.40000
    230.20,  2774.20000,  2004.70000
    230.68,  2770.60000,  1993.30000
    231.17,  2759.80000,  1974.00000
    231.66,  2735.20000,  1961.40000
    232.14,  2732.90000,  1944.00000
    232.63,  2723.40000,  1920.80000
    233.12,  2746.60000,  1900.90000
    233.60,  2773.10000,  1865.50000
    234.09,  2753.80000,  1835.50000
    234.58,  2742.30000,  1802.00000
    235.06,  2743.00000,  1773.20000
    235.55,  2737.70000,  1739.70000
    236.04,  2732.30000,  1725.20000
    236.52,  2755.00000,  1696.50000
    237.01,  2736.80000,  1682.10000
    237.50,  2772.20000,  1654.50000
    237.98,  2762.90000,  1638.90000
    238.47,  2815.40000,  1613.50000
    238.96,  2824.20000,  1596.00000
    239.44,  2822.80000,  1575.30000
    239.93,  2813.70000,  1578.80000
    240.41,  2770.60000,  1570.60000
    240.90,  2700.90000,  1563.90000
    241.39,  2720.50000,  1555.40000
    241.87,  2764.00000,  1540.10000
    242.36,  2794.70000,  1520.80000
    242.85,  2838.50000,  1521.00000
    243.33,  2828.00000,  1525.40000
    243.82,  2799.20000,  1523.40000
    244.30,  2766.90000,  1533.60000
    244.79,  2778.80000,  1521.70000
    245.28,  2771.40000,  1508.20000
    245.76,  2766.00000,  1503.80000
    246.25,  2747.00000,  1508.60000
    246.74,  2761.10000,  1515.50000
    247.22,  2786.30000,  1526.90000
    247.71,  2789.60000,  1512.60000
    248.19,  2777.00000,  1508.80000
    248.68,  2771.20000,  1499.60000
    249.16,  2739.80000,  1489.10000
    249.65,  2775.50000,  1491.90000
    250.14,  2791.80000,  1500.40000
    250.62,  2766.50000,  1499.80000
    251.11,  2737.10000,  1500.90000
    251.59,  2711.60000,  1498.50000
    252.08,  2702.00000,  1488.00000
    252.57,  2726.10000,  1481.70000
    253.05,  2736.50000,  1487.20000
    253.54,  2773.30000,  1484.80000
    254.02,  2801.20000,  1484.00000
    254.51,  2802.10000,  1483.00000
    254.99,  2797.40000,  1482.20000
    255.48,  2771.70000,  1480.40000
    255.96,  2747.80000,  1475.70000
    256.45,  2775.10000,  1461.50000
    256.94,  2784.90000,  1453.40000
    257.42,  2780.00000,  1437.00000
    257.91,  2788.00000,  1441.70000
    258.39,  2787.40000,  1446.50000
    258.88,  2769.40000,  1446.40000
    259.36,  2792.10000,  1440.90000
    259.85,  2789.80000,  1438.90000
    260.33,  2797.00000,  1439.20000
    260.82,  2812.60000,  1457.50000
    261.30,  2817.60000,  1459.30000
    261.79,  2781.80000,  1464.00000
    262.27,  2760.80000,  1455.60000
    262.76,  2750.00000,  1435.10000
    263.24,  2750.80000,  1429.60000
    263.73,  2781.00000,  1438.00000
    264.22,  2782.00000,  1443.80000
    264.70,  2849.10000,  1442.30000
    265.19,  2868.90000,  1436.80000
    265.67,  2870.00000,  1428.30000
    266.16,  2836.20000,  1427.40000
    266.64,  2815.00000,  1435.20000
    267.13,  2746.50000,  1442.80000
    267.61,  2758.80000,  1438.90000
    268.10,  2773.10000,  1445.10000
    268.58,  2770.00000,  1456.40000
    269.06,  2763.60000,  1461.90000
    269.55,  2786.30000,  1463.40000
    270.03,  2792.80000,  1456.20000
    270.52,  2793.30000,  1454.30000
    271.00,  2810.50000,  1458.80000
    271.49,  2807.90000,  1454.00000
    271.97,  2805.00000,  1458.10000
    272.46,  2811.50000,  1465.10000
    272.94,  2800.80000,  1479.60000
    273.43,  2788.20000,  1495.70000
    273.91,  2760.60000,  1511.50000
    274.40,  2747.40000,  1510.00000
    274.88,  2741.80000,  1504.60000
    275.37,  2757.00000,  1495.20000
    275.85,  2760.70000,  1497.90000
    276.33,  2770.80000,  1501.20000
    276.82,  2777.10000,  1510.10000
    277.30,  2779.20000,  1529.20000
    277.79,  2767.70000,  1539.60000
    278.27,  2781.80000,  1542.40000
    278.76,  2802.80000,  1543.00000
    279.24,  2812.40000,  1557.20000
    279.73,  2805.90000,  1564.70000
    280.21,  2793.30000,  1575.60000
    280.69,  2765.20000,  1582.90000
    281.18,  2768.80000,  1588.90000
    281.66,  2793.20000,  1586.60000
    282.15,  2830.80000,  1602.90000
    282.63,  2816.20000,  1619.00000
    283.11,  2805.60000,  1629.40000
    283.60,  2798.70000,  1649.70000
    284.08,  2811.70000,  1655.70000
    284.57,  2790.20000,  1657.30000
    285.05,  2794.30000,  1659.00000
    285.53,  2775.30000,  1664.40000
    286.02,  2753.80000,  1677.80000
    286.50,  2769.70000,  1705.30000
    286.99,  2788.40000,  1711.50000
    287.47,  2765.90000,  1734.40000
    287.95,  2760.40000,  1734.90000
    288.44,  2755.60000,  1733.90000
    288.92,  2750.30000,  1735.40000
    289.41,  2767.30000,  1738.60000
    289.89,  2796.80000,  1727.40000
    290.37,  2797.30000,  1740.10000
    290.86,  2821.40000,  1742.60000
    291.34,  2787.70000,  1746.30000
    291.82,  2773.60000,  1747.10000
    292.31,  2756.00000,  1740.10000
    292.79,  2773.20000,  1730.20000
    293.28,  2770.80000,  1727.60000
    293.76,  2779.00000,  1735.50000
    294.24,  2778.00000,  1736.00000
    294.73,  2796.30000,  1739.20000
    295.21,  2800.20000,  1736.40000
    295.69,  2814.60000,  1729.90000
    296.18,  2792.00000,  1718.10000
    296.66,  2750.70000,  1705.30000
    297.14,  2744.40000,  1696.90000
    297.63,  2751.90000,  1683.80000
    298.11,  2767.00000,  1678.60000
    298.59,  2804.90000,  1673.90000
    299.08,  2820.80000,  1659.00000
    299.56,  2818.00000,  1645.60000
    300.04,  2838.00000,  1635.90000
    300.53,  2841.20000,  1614.00000
    301.01,  2839.00000,  1600.30000
    301.49,  2830.80000,  1595.50000
    301.98,  2801.10000,  1588.20000
    302.46,  2769.70000,  1589.50000
    302.94,  2775.50000,  1573.70000
    303.42,  2769.90000,  1564.30000
    303.91,  2762.20000,  1545.60000
    304.39,  2744.80000,  1535.60000
    304.87,  2747.20000,  1530.40000
    305.36,  2767.10000,  1526.30000
    305.84,  2800.30000,  1521.20000
    306.32,  2828.40000,  1520.80000
    306.81,  2819.10000,  1508.00000
    307.29,  2791.50000,  1491.90000
    307.77,  2783.00000,  1469.20000
    308.25,  2787.90000,  1453.10000
    308.74,  2798.20000,  1452.40000
    309.22,  2790.90000,  1443.00000
    309.70,  2778.30000,  1435.50000
    310.18,  2758.10000,  1440.00000
    310.67,  2762.60000,  1438.80000
    311.15,  2779.00000,  1429.50000
    311.63,  2793.80000,  1427.30000
    312.12,  2797.50000,  1418.30000
    312.60,  2777.40000,  1399.20000
    313.08,  2751.30000,  1398.20000
    313.56,  2747.70000,  1389.00000
    314.05,  2749.50000,  1378.30000
    314.53,  2770.10000,  1376.70000
    315.01,  2827.60000,  1372.90000
    315.49,  2825.90000,  1353.10000
    315.98,  2827.70000,  1346.00000
    316.46,  2808.00000,  1330.50000
    316.94,  2768.00000,  1329.60000
    317.42,  2749.60000,  1334.10000
    317.90,  2753.20000,  1339.80000
    318.39,  2725.90000,  1341.00000
    318.87,  2776.50000,  1342.30000
    319.35,  2803.90000,  1332.10000
    319.83,  2816.10000,  1326.10000
    320.32,  2829.90000,  1324.60000
    320.80,  2833.40000,  1321.10000
    321.28,  2786.60000,  1321.90000
    321.76,  2826.60000,  1318.60000
    322.24,  2827.30000,  1315.70000
    322.73,  2838.50000,  1311.20000
    323.21,  2840.70000,  1319.30000
    323.69,  2844.50000,  1313.70000
    324.17,  2788.30000,  1320.40000
    324.65,  2756.80000,  1325.50000
    325.14,  2757.40000,  1328.00000
    325.62,  2769.30000,  1321.60000
    326.10,  2818.50000,  1320.90000
    326.58,  2843.70000,  1308.10000
    327.06,  2806.20000,  1300.60000
    327.55,  2820.90000,  1299.90000
    328.03,  2845.40000,  1305.80000
    328.51,  2849.80000,  1305.10000
    328.99,  2862.90000,  1306.00000
    329.47,  2849.70000,  1305.80000
    329.95,  2782.30000,  1304.80000
    330.44,  2796.80000,  1306.60000
    330.92,  2766.80000,  1312.40000
    331.40,  2751.00000,  1298.70000
    331.88,  2741.10000,  1297.00000
    332.36,  2749.10000,  1292.90000
    332.84,  2776.30000,  1294.20000
    333.33,  2821.30000,  1286.70000
    333.81,  2821.10000,  1283.70000
    334.29,  2827.80000,  1267.70000
    334.77,  2824.90000,  1280.10000
    335.25,  2811.30000,  1286.70000
    335.73,  2825.40000,  1299.00000
    336.21,  2819.50000,  1300.10000
    336.69,  2799.10000,  1294.80000
    337.18,  2788.50000,  1279.00000
    337.66,  2768.90000,  1273.40000
    338.14,  2757.00000,  1262.70000
    338.62,  2751.30000,  1266.20000
    339.10,  2774.70000,  1273.80000
    339.58,  2815.30000,  1275.40000
    340.06,  2829.70000,  1276.20000
    340.54,  2828.10000,  1282.50000
    341.03,  2814.20000,  1274.60000
    341.51,  2787.70000,  1271.60000
    341.99,  2788.40000,  1266.50000
    342.47,  2797.10000,  1261.50000
    342.95,  2791.80000,  1256.90000
    343.43,  2788.00000,  1267.00000
    343.91,  2780.40000,  1271.10000
    344.39,  2763.90000,  1269.50000
    344.87,  2746.50000,  1266.40000
    345.35,  2763.10000,  1259.00000
    345.84,  2776.80000,  1254.50000
    346.32,  2825.70000,  1257.20000
    346.80,  2844.00000,  1256.40000
    347.28,  2840.10000,  1260.20000
    347.76,  2812.70000,  1259.30000
    348.24,  2809.10000,  1257.50000
    348.72,  2827.20000,  1255.60000
    349.20,  2852.00000,  1244.30000
    349.68,  2841.80000,  1234.30000
    350.16,  2803.70000,  1244.00000
    350.64,  2762.50000,  1249.60000
    351.12,  2742.70000,  1261.60000
    351.60,  2795.50000,  1263.70000
    352.08,  2840.40000,  1256.60000
    352.56,  2868.40000,  1248.70000
    353.04,  2863.90000,  1244.50000
    353.53,  2846.50000,  1250.60000
    354.01,  2822.90000,  1246.90000
    354.49,  2832.50000,  1244.10000
    354.97,  2823.10000,  1247.90000
    355.45,  2818.40000,  1250.70000
    355.93,  2798.50000,  1250.30000
    356.41,  2812.90000,  1252.20000
    356.89,  2799.90000,  1242.50000
    357.37,  2803.20000,  1245.00000
    357.85,  2779.50000,  1247.50000
    358.33,  2768.40000,  1256.70000
    358.81,  2749.80000,  1252.90000
    359.29,  2764.20000,  1245.80000
    359.77,  2788.80000,  1240.70000
    360.25,  2809.80000,  1247.70000
    360.73,  2808.10000,  1245.70000
    361.21,  2801.10000,  1242.80000
    361.69,  2807.10000,  1240.70000
    362.17,  2803.20000,  1248.20000
    362.65,  2818.30000,  1248.20000
    363.13,  2821.40000,  1252.50000
    363.61,  2822.30000,  1257.60000
    364.09,  2792.00000,  1254.70000
    364.57,  2784.80000,  1259.20000
    365.05,  2790.30000,  1262.00000
    365.53,  2775.90000,  1257.90000
    366.01,  2795.70000,  1258.70000
    366.49,  2832.70000,  1262.60000
    366.97,  2789.30000,  1265.80000
    367.45,  2801.10000,  1265.80000
    367.93,  2831.50000,  1262.10000
    368.41,  2817.20000,  1263.30000
    368.89,  2820.80000,  1268.20000
    369.37,  2827.00000,  1268.50000
    369.85,  2775.70000,  1264.90000
    370.33,  2799.70000,  1254.30000
    370.80,  2817.50000,  1251.70000
    371.28,  2819.10000,  1250.00000
    371.76,  2793.20000,  1255.80000
    372.24,  2773.30000,  1265.50000
    372.72,  2771.20000,  1272.80000
    373.20,  2794.20000,  1275.50000
    373.68,  2819.10000,  1281.90000
    374.16,  2842.70000,  1275.00000
    374.64,  2816.00000,  1281.30000
    375.12,  2790.00000,  1280.90000
    375.60,  2819.80000,  1285.70000
    376.08,  2793.90000,  1291.60000
    376.56,  2788.10000,  1291.00000
    377.04,  2787.20000,  1283.70000
    377.52,  2787.40000,  1292.90000
    377.99,  2790.30000,  1279.10000
    378.47,  2820.70000,  1279.90000
    378.95,  2802.10000,  1289.60000
    379.43,  2813.90000,  1299.70000
    379.91,  2819.80000,  1295.00000
    380.39,  2855.00000,  1313.90000
