2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2020/10/19 16:54

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,  2241.20000,  1857.60000
    108.66,  2246.10000,  1846.40000
    109.15,  2258.40000,  1831.40000
    109.65,  2285.60000,  1796.00000
    110.14,  2292.80000,  1775.90000
    110.63,  2298.60000,  1736.40000
    111.13,  2313.10000,  1715.00000
    111.62,  2298.60000,  1693.80000
    112.11,  2316.10000,  1674.40000
    112.60,  2338.90000,  1657.20000
    113.10,  2328.40000,  1650.90000
    113.59,  2350.10000,  1640.80000
    114.08,  2363.60000,  1661.90000
    114.58,  2350.30000,  1662.90000
    115.07,  2397.80000,  1656.00000
    115.56,  2409.80000,  1648.10000
    116.06,  2401.80000,  1633.80000
    116.55,  2403.70000,  1635.40000
    117.04,  2390.80000,  1651.10000
    117.53,  2372.90000,  1657.90000
    118.03,  2413.10000,  1666.00000
    118.52,  2418.50000,  1673.70000
    119.01,  2412.10000,  1673.10000
    119.51,  2497.90000,  1695.30000
    120.00,  2582.60000,  1723.20000
    120.49,  2620.70000,  1750.40000
    120.98,  2620.50000,  1793.00000
    121.48,  2540.90000,  1830.50000
    121.97,  2441.20000,  1866.70000
    122.46,  2432.60000,  1915.40000
    122.95,  2456.10000,  1975.40000
    123.45,  2492.90000,  2021.30000
    123.94,  2496.40000,  2077.80000
    124.43,  2516.30000,  2120.70000
    124.92,  2544.60000,  2158.30000
    125.42,  2540.10000,  2187.20000
    125.91,  2549.10000,  2232.40000
    126.40,  2542.80000,  2254.60000
    126.89,  2512.90000,  2300.10000
    127.39,  2508.10000,  2334.30000
    127.88,  2507.50000,  2355.00000
    128.37,  2507.40000,  2386.20000
    128.86,  2530.90000,  2424.00000
    129.35,  2530.20000,  2453.30000
    129.85,  2539.10000,  2509.90000
    130.34,  2529.60000,  2548.60000
    130.83,  2528.30000,  2577.20000
    131.32,  2529.10000,  2600.90000
    131.81,  2535.00000,  2609.60000
    132.31,  2535.40000,  2610.30000
    132.80,  2540.70000,  2625.30000
    133.29,  2525.80000,  2622.70000
    133.78,  2533.50000,  2635.30000
    134.27,  2548.50000,  2640.00000
    134.77,  2559.80000,  2654.60000
    135.26,  2583.30000,  2684.90000
    135.75,  2580.20000,  2719.80000
    136.24,  2594.50000,  2743.50000
    136.73,  2576.10000,  2762.70000
    137.23,  2586.20000,  2797.10000
    137.72,  2571.30000,  2835.30000
    138.21,  2566.20000,  2861.40000
    138.70,  2557.30000,  2858.80000
    139.19,  2595.60000,  2855.80000
    139.68,  2586.80000,  2852.80000
    140.18,  2593.40000,  2869.40000
    140.67,  2607.40000,  2891.40000
    141.16,  2613.20000,  2910.00000
    141.65,  2603.70000,  2926.30000
    142.14,  2601.60000,  2953.60000
    142.63,  2619.20000,  2981.40000
    143.13,  2617.30000,  3003.30000
    143.62,  2658.50000,  3033.50000
    144.11,  2659.00000,  3065.70000
    144.60,  2620.90000,  3084.90000
    145.09,  2599.50000,  3097.50000
    145.58,  2651.80000,  3106.80000
    146.07,  2672.80000,  3115.20000
    146.56,  2689.40000,  3152.20000
    147.06,  2677.90000,  3192.30000
    147.55,  2645.20000,  3234.60000
    148.04,  2604.00000,  3272.80000
    148.53,  2635.80000,  3304.10000
    149.02,  2617.20000,  3311.30000
    149.51,  2695.00000,  3327.40000
    150.00,  2748.90000,  3333.10000
    150.49,  2761.70000,  3362.90000
    150.99,  2762.10000,  3396.70000
    151.48,  2735.70000,  3435.50000
    151.97,  2654.60000,  3468.20000
    152.46,  2669.20000,  3499.40000
    152.95,  2648.00000,  3508.60000
    153.44,  2640.40000,  3520.70000
    153.93,  2656.20000,  3532.20000
    154.42,  2674.00000,  3526.00000
    154.91,  2659.90000,  3513.00000
    155.40,  2653.60000,  3507.70000
    155.89,  2635.80000,  3493.40000
    156.39,  2656.60000,  3475.00000
    156.88,  2630.80000,  3473.40000
    157.37,  2635.70000,  3471.70000
    157.86,  2638.10000,  3473.90000
    158.35,  2645.60000,  3491.80000
    158.84,  2667.30000,  3508.10000
    159.33,  2717.00000,  3520.80000
    159.82,  2729.60000,  3531.90000
    160.31,  2740.20000,  3544.00000
    160.80,  2777.60000,  3511.10000
    161.29,  2730.70000,  3560.10000
    161.78,  2702.80000,  3559.10000
    162.27,  2666.00000,  3540.60000
    162.76,  2663.70000,  3495.70000
    163.25,  2665.20000,  3447.10000
    163.74,  2696.10000,  3366.30000
    164.23,  2695.30000,  3379.90000
    164.72,  2716.50000,  3378.30000
    165.21,  2692.70000,  3356.60000
    165.70,  2681.50000,  3345.30000
    166.20,  2713.20000,  3354.10000
    166.69,  2734.80000,  3343.70000
    167.18,  2753.10000,  3310.30000
    167.67,  2747.30000,  3297.00000
    168.16,  2727.70000,  3234.90000
    168.65,  2678.50000,  3189.70000
    169.14,  2708.20000,  3157.50000
    169.63,  2699.80000,  3145.50000
    170.12,  2693.40000,  3122.70000
    170.61,  2681.50000,  3106.60000
    171.10,  2743.10000,  3069.90000
    171.59,  2737.20000,  3043.50000
    172.08,  2752.50000,  3011.20000
    172.57,  2746.90000,  2994.50000
    173.06,  2740.80000,  2982.70000
    173.55,  2731.00000,  2967.10000
    174.04,  2716.40000,  2961.30000
    174.53,  2706.10000,  2954.70000
    175.02,  2698.50000,  2951.00000
    175.50,  2725.50000,  2940.60000
    175.99,  2755.80000,  2924.80000
    176.48,  2786.30000,  2901.90000
    176.97,  2763.60000,  2874.00000
    177.46,  2767.00000,  2845.10000
    177.95,  2733.50000,  2835.90000
    178.44,  2717.00000,  2834.50000
    178.93,  2701.10000,  2842.00000
    179.42,  2721.90000,  2850.00000
    179.91,  2740.70000,  2846.70000
    180.40,  2747.00000,  2847.20000
    180.89,  2752.00000,  2841.60000
    181.38,  2740.20000,  2843.60000
    181.87,  2733.00000,  2858.00000
    182.36,  2734.50000,  2864.70000
    182.85,  2714.10000,  2878.20000
    183.34,  2727.80000,  2884.80000
    183.83,  2738.20000,  2874.90000
    184.32,  2730.30000,  2856.80000
    184.81,  2768.00000,  2838.20000
    185.29,  2765.90000,  2802.20000
    185.78,  2737.70000,  2791.10000
    186.27,  2744.30000,  2787.90000
    186.76,  2734.70000,  2779.50000
    187.25,  2701.50000,  2775.50000
    187.74,  2772.00000,  2781.30000
    188.23,  2809.10000,  2775.70000
    188.72,  2832.60000,  2787.80000
    189.21,  2818.50000,  2808.40000
    189.70,  2786.20000,  2827.30000
    190.19,  2741.70000,  2866.50000
    190.67,  2728.60000,  2893.80000
    191.16,  2735.00000,  2893.80000
    191.65,  2743.60000,  2880.50000
    192.14,  2725.80000,  2883.60000
    192.63,  2754.30000,  2881.90000
    193.12,  2767.80000,  2898.70000
    193.61,  2749.70000,  2904.30000
    194.10,  2764.70000,  2901.10000
    194.59,  2757.20000,  2886.20000
    195.07,  2746.60000,  2883.10000
    195.56,  2767.70000,  2866.40000
    196.05,  2749.60000,  2851.30000
    196.54,  2736.60000,  2826.20000
