2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/15 11:50

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  5607.20000
    108.66,        ____,  5602.70000
    109.15,        ____,  5594.60000
    109.65,        ____,  5593.80000
    110.14,        ____,  5568.50000
    110.63,        ____,  5539.40000
    111.13,        ____,  5523.60000
    111.62,        ____,  5485.30000
    112.11,        ____,  5455.90000
    112.60,        ____,  5434.20000
    113.10,        ____,  5366.00000
    113.59,        ____,  5339.40000
    114.08,        ____,  5340.20000
    114.58,        ____,  5319.90000
    115.07,        ____,  5350.90000
    115.56,        ____,  5354.70000
    116.06,        ____,  5326.70000
    116.55,        ____,  5311.40000
    117.04,        ____,  5302.20000
    117.53,        ____,  5276.30000
    118.03,        ____,  5306.70000
    118.52,        ____,  5308.80000
    119.01,        ____,  5300.20000
    119.51,        ____,  5402.50000
    120.00,        ____,  5514.50000
    120.49,        ____,  5562.00000
    120.98,        ____,  5565.20000
    121.48,        ____,  5484.10000
    121.97,        ____,  5385.70000
    122.46,        ____,  5388.00000
    122.95,        ____,  5422.90000
    123.45,        ____,  5463.50000
    123.94,        ____,  5485.70000
    124.43,        ____,  5521.30000
    124.92,        ____,  5564.40000
    125.42,        ____,  5560.10000
    125.91,        ____,  5574.10000
    126.40,        ____,  5565.10000
    126.89,        ____,  5562.70000
    127.39,        ____,  5578.90000
    127.88,        ____,  5602.30000
    128.37,        ____,  5609.60000
    128.86,        ____,  5637.40000
    129.35,        ____,  5635.70000
    129.85,        ____,  5655.70000
    130.34,        ____,  5661.00000
    130.83,        ____,  5702.60000
    131.32,        ____,  5735.00000
    131.81,        ____,  5743.30000
    132.31,        ____,  5745.30000
    132.80,        ____,  5740.60000
    133.29,        ____,  5715.70000
    133.78,        ____,  5738.40000
    134.27,        ____,  5765.70000
    134.77,        ____,  5781.10000
    135.26,        ____,  5816.30000
    135.75,        ____,  5828.00000
    136.24,        ____,  5859.60000
    136.73,        ____,  5857.10000
    137.23,        ____,  5887.90000
    137.72,        ____,  5897.30000
    138.21,        ____,  5891.70000
    138.70,        ____,  5874.10000
    139.19,        ____,  5908.90000
    139.68,        ____,  5893.70000
    140.18,        ____,  5903.80000
    140.67,        ____,  5913.00000
    141.16,        ____,  5896.50000
    141.65,        ____,  5891.90000
    142.14,        ____,  5903.20000
    142.63,        ____,  5938.70000
    143.13,        ____,  5956.60000
    143.62,        ____,  6007.30000
    144.11,        ____,  6012.30000
    144.60,        ____,  5994.10000
    145.09,        ____,  5994.90000
    145.58,        ____,  6063.30000
    146.07,        ____,  6083.60000
    146.56,        ____,  6103.30000
    147.06,        ____,  6104.50000
    147.55,        ____,  6098.00000
    148.04,        ____,  6088.20000
    148.53,        ____,  6148.80000
    149.02,        ____,  6130.10000
    149.51,        ____,  6197.00000
    150.00,        ____,  6251.10000
    150.49,        ____,  6287.30000
    150.99,        ____,  6320.00000
    151.48,        ____,  6334.00000
    151.97,        ____,  6265.90000
    152.46,        ____,  6286.50000
    152.95,        ____,  6280.00000
    153.44,        ____,  6288.90000
    153.93,        ____,  6335.90000
    154.42,        ____,  6375.30000
    154.91,        ____,  6368.20000
    155.40,        ____,  6378.20000
    155.89,        ____,  6390.60000
    156.39,        ____,  6420.50000
    156.88,        ____,  6412.60000
    157.37,        ____,  6431.10000
    157.86,        ____,  6423.40000
    158.35,        ____,  6402.10000
    158.84,        ____,  6407.80000
    159.33,        ____,  6431.60000
    159.82,        ____,  6436.50000
    160.31,        ____,  6464.70000
    160.80,        ____,  6506.00000
    161.29,        ____,  6444.10000
    161.78,        ____,  6424.40000
    162.27,        ____,  6391.30000
    162.76,        ____,  6389.50000
    163.25,        ____,  6408.50000
    163.74,        ____,  6454.10000
    164.23,        ____,  6430.50000
    164.72,        ____,  6446.80000
    165.21,        ____,  6398.40000
    165.70,        ____,  6351.90000
    166.20,        ____,  6376.40000
    166.69,        ____,  6388.40000
    167.18,        ____,  6388.70000
    167.67,        ____,  6403.30000
    168.16,        ____,  6384.40000
    168.65,        ____,  6331.60000
    169.14,        ____,  6370.50000
    169.63,        ____,  6361.70000
    170.12,        ____,  6351.50000
    170.61,        ____,  6341.70000
    171.10,        ____,  6373.10000
    171.59,        ____,  6339.80000
    172.08,        ____,  6329.80000
    172.57,        ____,  6281.50000
    173.06,        ____,  6240.40000
    173.55,        ____,  6190.80000
    174.04,        ____,  6141.10000
    174.53,        ____,  6110.30000
    175.02,        ____,  6092.40000
    175.50,        ____,  6108.40000
    175.99,        ____,  6138.20000
    176.48,        ____,  6160.10000
    176.97,        ____,  6131.30000
    177.46,        ____,  6109.20000
    177.95,        ____,  6064.20000
    178.44,        ____,  6037.70000
    178.93,        ____,  6017.00000
    179.42,        ____,  6018.60000
    179.91,        ____,  6019.40000
    180.40,        ____,  6015.80000
    180.89,        ____,  6013.30000
    181.38,        ____,  5990.50000
    181.87,        ____,  5998.70000
    182.36,        ____,  5986.40000
