2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/16 11:34

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  3868.70000
    108.66,        ____,  3851.80000
    109.15,        ____,  3835.20000
    109.65,        ____,  3821.00000
    110.14,        ____,  3810.80000
    110.63,        ____,  3810.90000
    111.13,        ____,  3824.30000
    111.62,        ____,  3805.00000
    112.11,        ____,  3808.50000
    112.60,        ____,  3826.70000
    113.10,        ____,  3812.10000
    113.59,        ____,  3833.20000
    114.08,        ____,  3848.80000
    114.58,        ____,  3823.20000
    115.07,        ____,  3852.60000
    115.56,        ____,  3854.40000
    116.06,        ____,  3848.70000
    116.55,        ____,  3866.40000
    117.04,        ____,  3863.80000
    117.53,        ____,  3851.60000
    118.03,        ____,  3894.70000
    118.52,        ____,  3902.50000
    119.01,        ____,  3914.00000
    119.51,        ____,  4025.10000
    120.00,        ____,  4146.10000
    120.49,        ____,  4219.00000
    120.98,        ____,  4256.90000
    121.48,        ____,  4211.70000
    121.97,        ____,  4145.50000
    122.46,        ____,  4167.90000
    122.95,        ____,  4249.50000
    123.45,        ____,  4334.60000
    123.94,        ____,  4389.00000
    124.43,        ____,  4457.80000
    124.92,        ____,  4527.70000
    125.42,        ____,  4560.50000
    125.91,        ____,  4630.50000
    126.40,        ____,  4657.20000
    126.89,        ____,  4665.50000
    127.39,        ____,  4691.20000
    127.88,        ____,  4716.90000
    128.37,        ____,  4754.90000
    128.86,        ____,  4815.00000
    129.35,        ____,  4857.30000
    129.85,        ____,  4918.20000
    130.34,        ____,  4958.90000
    130.83,        ____,  5006.10000
    131.32,        ____,  5050.00000
    131.81,        ____,  5070.80000
    132.31,        ____,  5093.90000
    132.80,        ____,  5112.60000
    133.29,        ____,  5109.60000
    133.78,        ____,  5152.80000
    134.27,        ____,  5213.40000
    134.77,        ____,  5273.50000
    135.26,        ____,  5357.00000
    135.75,        ____,  5407.80000
    136.24,        ____,  5465.80000
    136.73,        ____,  5482.80000
    137.23,        ____,  5528.50000
    137.72,        ____,  5542.00000
    138.21,        ____,  5565.30000
    138.70,        ____,  5575.00000
    139.19,        ____,  5627.40000
    139.68,        ____,  5623.40000
    140.18,        ____,  5648.80000
    140.67,        ____,  5672.00000
    141.16,        ____,  5695.00000
    141.65,        ____,  5731.70000
    142.14,        ____,  5773.80000
    142.63,        ____,  5842.30000
    143.13,        ____,  5886.10000
    143.62,        ____,  5953.10000
    144.11,        ____,  5988.90000
    144.60,        ____,  6009.00000
    145.09,        ____,  6042.90000
    145.58,        ____,  6150.50000
    146.07,        ____,  6202.60000
    146.56,        ____,  6241.20000
    147.06,        ____,  6248.10000
    147.55,        ____,  6250.60000
    148.04,        ____,  6262.80000
    148.53,        ____,  6342.80000
    149.02,        ____,  6371.20000
    149.51,        ____,  6495.50000
    150.00,        ____,  6564.00000
    150.49,        ____,  6596.70000
    150.99,        ____,  6623.20000
    151.48,        ____,  6621.50000
    151.97,        ____,  6579.70000
    152.46,        ____,  6648.90000
    152.95,        ____,  6659.70000
    153.44,        ____,  6680.40000
    153.93,        ____,  6734.70000
    154.42,        ____,  6778.50000
    154.91,        ____,  6759.40000
    155.40,        ____,  6755.20000
    155.89,        ____,  6715.70000
    156.39,        ____,  6705.40000
    156.88,        ____,  6689.20000
    157.37,        ____,  6731.50000
    157.86,        ____,  6760.40000
    158.35,        ____,  6804.70000
    158.84,        ____,  6841.60000
    159.33,        ____,  6887.40000
    159.82,        ____,  6896.80000
    160.31,        ____,  6926.90000
    160.80,        ____,  6955.60000
    161.29,        ____,  6901.70000
    161.78,        ____,  6859.20000
    162.27,        ____,  6799.70000
    162.76,        ____,  6772.40000
    163.25,        ____,  6790.10000
    163.74,        ____,  6809.40000
    164.23,        ____,  6798.80000
    164.72,        ____,  6832.50000
    165.21,        ____,  6778.20000
    165.70,        ____,  6741.90000
    166.20,        ____,  6771.50000
    166.69,        ____,  6774.10000
    167.18,        ____,  6767.80000
    167.67,        ____,  6781.40000
    168.16,        ____,  6735.90000
    168.65,        ____,  6655.70000
    169.14,        ____,  6651.60000
    169.63,        ____,  6620.00000
    170.12,        ____,  6561.70000
    170.61,        ____,  6522.60000
    171.10,        ____,  6557.90000
    171.59,        ____,  6504.90000
    172.08,        ____,  6471.70000
    172.57,        ____,  6439.70000
    173.06,        ____,  6398.90000
    173.55,        ____,  6366.10000
    174.04,        ____,  6365.80000
    174.53,        ____,  6359.90000
    175.02,        ____,  6351.70000
    175.50,        ____,  6384.20000
    175.99,        ____,  6388.20000
    176.48,        ____,  6382.40000
    176.97,        ____,  6341.20000
    177.46,        ____,  6330.70000
    177.95,        ____,  6283.60000
    178.44,        ____,  6264.60000
    178.93,        ____,  6233.60000
    179.42,        ____,  6239.50000
    179.91,        ____,  6256.70000
    180.40,        ____,  6267.20000
    180.89,        ____,  6273.90000
    181.38,        ____,  6274.20000
    181.87,        ____,  6299.70000
    182.36,        ____,  6312.00000
    182.85,        ____,  6305.80000
    183.34,        ____,  6336.00000
    183.83,        ____,  6354.00000
    184.32,        ____,  6349.80000
    184.81,        ____,  6399.20000
    185.29,        ____,  6378.70000
    185.78,        ____,  6341.00000
    186.27,        ____,  6344.80000
    186.76,        ____,  6334.10000
    187.25,        ____,  6302.10000
    187.74,        ____,  6384.10000
    188.23,        ____,  6426.10000
    188.72,        ____,  6480.60000
    189.21,        ____,  6521.10000
    189.70,        ____,  6542.00000
    190.19,        ____,  6538.30000
    190.67,        ____,  6537.60000
    191.16,        ____,  6566.50000
    191.65,        ____,  6573.70000
    192.14,        ____,  6578.90000
    192.63,        ____,  6650.00000
    193.12,        ____,  6700.90000
    193.61,        ____,  6691.80000
    194.10,        ____,  6763.50000
    194.59,        ____,  6750.50000
