2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/15 17:56

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  5472.10000
    108.66,        ____,  5463.30000
    109.15,        ____,  5446.80000
    109.65,        ____,  5434.60000
    110.14,        ____,  5413.00000
    110.63,        ____,  5371.30000
    111.13,        ____,  5332.70000
    111.62,        ____,  5276.30000
    112.11,        ____,  5234.40000
    112.60,        ____,  5216.30000
    113.10,        ____,  5172.40000
    113.59,        ____,  5170.10000
    114.08,        ____,  5183.80000
    114.58,        ____,  5181.70000
    115.07,        ____,  5231.10000
    115.56,        ____,  5244.90000
    116.06,        ____,  5244.40000
    116.55,        ____,  5255.50000
    117.04,        ____,  5241.40000
    117.53,        ____,  5219.40000
    118.03,        ____,  5250.70000
    118.52,        ____,  5263.40000
    119.01,        ____,  5279.00000
    119.51,        ____,  5396.60000
    120.00,        ____,  5518.80000
    120.49,        ____,  5583.40000
    120.98,        ____,  5604.00000
    121.48,        ____,  5561.00000
    121.97,        ____,  5480.80000
    122.46,        ____,  5501.80000
    122.95,        ____,  5581.40000
    123.45,        ____,  5673.70000
    123.94,        ____,  5732.50000
    124.43,        ____,  5822.80000
    124.92,        ____,  5903.30000
    125.42,        ____,  5966.80000
    125.91,        ____,  6052.70000
    126.40,        ____,  6116.30000
    126.89,        ____,  6143.90000
    127.39,        ____,  6168.40000
    127.88,        ____,  6181.50000
    128.37,        ____,  6207.10000
    128.86,        ____,  6263.20000
    129.35,        ____,  6311.00000
    129.85,        ____,  6372.30000
    130.34,        ____,  6412.30000
    130.83,        ____,  6458.40000
    131.32,        ____,  6485.70000
    131.81,        ____,  6508.30000
    132.31,        ____,  6528.80000
    132.80,        ____,  6539.20000
    133.29,        ____,  6554.10000
    133.78,        ____,  6616.20000
    134.27,        ____,  6670.10000
    134.77,        ____,  6719.10000
    135.26,        ____,  6771.60000
    135.75,        ____,  6781.60000
    136.24,        ____,  6842.00000
    136.73,        ____,  6871.60000
    137.23,        ____,  6911.40000
    137.72,        ____,  6916.10000
    138.21,        ____,  6919.10000
    138.70,        ____,  6925.80000
    139.19,        ____,  7015.10000
    139.68,        ____,  7036.20000
    140.18,        ____,  7036.80000
    140.67,        ____,  7015.00000
    141.16,        ____,  6977.20000
    141.65,        ____,  6956.50000
    142.14,        ____,  6978.20000
    142.63,        ____,  7040.30000
    143.13,        ____,  7061.50000
    143.62,        ____,  7110.30000
    144.11,        ____,  7113.70000
    144.60,        ____,  7112.10000
    145.09,        ____,  7141.30000
    145.58,        ____,  7255.90000
    146.07,        ____,  7312.40000
    146.56,        ____,  7348.60000
    147.06,        ____,  7345.30000
    147.55,        ____,  7326.40000
    148.04,        ____,  7276.40000
    148.53,        ____,  7308.10000
    149.02,        ____,  7298.60000
    149.51,        ____,  7392.90000
    150.00,        ____,  7478.20000
    150.49,        ____,  7531.00000
    150.99,        ____,  7540.60000
    151.48,        ____,  7533.90000
    151.97,        ____,  7461.30000
    152.46,        ____,  7461.70000
    152.95,        ____,  7433.00000
    153.44,        ____,  7436.00000
    153.93,        ____,  7491.80000
    154.42,        ____,  7559.40000
    154.91,        ____,  7576.00000
    155.40,        ____,  7576.60000
    155.89,        ____,  7559.80000
    156.39,        ____,  7566.20000
    156.88,        ____,  7536.00000
    157.37,        ____,  7524.30000
    157.86,        ____,  7499.80000
    158.35,        ____,  7481.20000
    158.84,        ____,  7499.00000
    159.33,        ____,  7546.60000
    159.82,        ____,  7562.30000
    160.31,        ____,  7574.00000
    160.80,        ____,  7591.60000
    161.29,        ____,  7524.70000
    161.78,        ____,  7495.80000
    162.27,        ____,  7476.50000
    162.76,        ____,  7514.30000
    163.25,        ____,  7559.60000
    163.74,        ____,  7617.50000
    164.23,        ____,  7620.30000
    164.72,        ____,  7645.00000
    165.21,        ____,  7590.90000
    165.70,        ____,  7555.20000
    166.20,        ____,  7565.30000
    166.69,        ____,  7575.00000
    167.18,        ____,  7585.20000
    167.67,        ____,  7609.40000
    168.16,        ____,  7599.50000
    168.65,        ____,  7561.80000
    169.14,        ____,  7595.70000
    169.63,        ____,  7575.90000
    170.12,        ____,  7542.30000
    170.61,        ____,  7518.70000
    171.10,        ____,  7554.60000
    171.59,        ____,  7520.90000
    172.08,        ____,  7504.70000
    172.57,        ____,  7454.10000
    173.06,        ____,  7406.40000
    173.55,        ____,  7350.80000
    174.04,        ____,  7306.50000
    174.53,        ____,  7260.80000
    175.02,        ____,  7250.60000
    175.50,        ____,  7302.10000
    175.99,        ____,  7342.70000
    176.48,        ____,  7362.20000
    176.97,        ____,  7333.50000
    177.46,        ____,  7312.80000
    177.95,        ____,  7261.30000
    178.44,        ____,  7230.90000
    178.93,        ____,  7178.60000
    179.42,        ____,  7160.60000
