2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/16 12:53

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  3939.90000
    108.66,        ____,  3932.40000
    109.15,        ____,  3920.10000
    109.65,        ____,  3904.60000
    110.14,        ____,  3875.50000
    110.63,        ____,  3859.00000
    111.13,        ____,  3865.40000
    111.62,        ____,  3843.20000
    112.11,        ____,  3859.90000
    112.60,        ____,  3883.60000
    113.10,        ____,  3863.90000
    113.59,        ____,  3887.40000
    114.08,        ____,  3907.80000
    114.58,        ____,  3891.20000
    115.07,        ____,  3941.70000
    115.56,        ____,  3950.50000
    116.06,        ____,  3932.00000
    116.55,        ____,  3929.80000
    117.04,        ____,  3921.70000
    117.53,        ____,  3917.20000
    118.03,        ____,  3967.30000
    118.52,        ____,  3989.00000
    119.01,        ____,  4006.40000
    119.51,        ____,  4105.80000
    120.00,        ____,  4222.30000
    120.49,        ____,  4298.10000
    120.98,        ____,  4336.40000
    121.48,        ____,  4301.50000
    121.97,        ____,  4251.30000
    122.46,        ____,  4281.30000
    122.95,        ____,  4356.10000
    123.45,        ____,  4443.50000
    123.94,        ____,  4492.90000
    124.43,        ____,  4557.50000
    124.92,        ____,  4633.20000
    125.42,        ____,  4677.20000
    125.91,        ____,  4742.40000
    126.40,        ____,  4774.40000
    126.89,        ____,  4789.40000
    127.39,        ____,  4812.80000
    127.88,        ____,  4838.50000
    128.37,        ____,  4872.60000
    128.86,        ____,  4941.30000
    129.35,        ____,  4982.20000
    129.85,        ____,  5044.20000
    130.34,        ____,  5072.10000
    130.83,        ____,  5104.60000
    131.32,        ____,  5143.70000
    131.81,        ____,  5180.90000
    132.31,        ____,  5205.20000
    132.80,        ____,  5223.40000
    133.29,        ____,  5227.30000
    133.78,        ____,  5271.30000
    134.27,        ____,  5336.50000
    134.77,        ____,  5404.40000
    135.26,        ____,  5474.00000
    135.75,        ____,  5508.80000
    136.24,        ____,  5566.10000
    136.73,        ____,  5584.70000
    137.23,        ____,  5623.90000
    137.72,        ____,  5644.80000
    138.21,        ____,  5654.00000
    138.70,        ____,  5646.00000
    139.19,        ____,  5696.40000
    139.68,        ____,  5702.60000
    140.18,        ____,  5725.60000
    140.67,        ____,  5758.40000
    141.16,        ____,  5784.00000
    141.65,        ____,  5793.30000
    142.14,        ____,  5829.20000
    142.63,        ____,  5902.40000
    143.13,        ____,  5948.10000
    143.62,        ____,  6023.70000
    144.11,        ____,  6061.80000
    144.60,        ____,  6050.50000
    145.09,        ____,  6052.70000
    145.58,        ____,  6129.00000
    146.07,        ____,  6172.20000
    146.56,        ____,  6213.40000
    147.06,        ____,  6252.70000
    147.55,        ____,  6278.80000
    148.04,        ____,  6287.10000
    148.53,        ____,  6365.20000
    149.02,        ____,  6397.30000
    149.51,        ____,  6500.80000
    150.00,        ____,  6568.70000
    150.49,        ____,  6618.40000
    150.99,        ____,  6637.40000
    151.48,        ____,  6636.40000
    151.97,        ____,  6597.40000
    152.46,        ____,  6640.30000
    152.95,        ____,  6645.80000
    153.44,        ____,  6705.20000
    153.93,        ____,  6784.10000
    154.42,        ____,  6834.70000
    154.91,        ____,  6833.80000
    155.40,        ____,  6832.70000
    155.89,        ____,  6804.10000
    156.39,        ____,  6823.30000
    156.88,        ____,  6818.10000
    157.37,        ____,  6826.20000
    157.86,        ____,  6845.50000
    158.35,        ____,  6912.90000
    158.84,        ____,  6987.40000
    159.33,        ____,  7102.90000
    159.82,        ____,  7168.70000
    160.31,        ____,  7198.60000
    160.80,        ____,  7227.90000
    161.29,        ____,  7193.80000
    161.78,        ____,  7172.00000
    162.27,        ____,  7153.40000
    162.76,        ____,  7152.10000
    163.25,        ____,  7170.50000
    163.74,        ____,  7197.40000
    164.23,        ____,  7208.50000
    164.72,        ____,  7265.70000
    165.21,        ____,  7257.80000
    165.70,        ____,  7264.80000
    166.20,        ____,  7327.10000
    166.69,        ____,  7344.20000
    167.18,        ____,  7344.10000
    167.67,        ____,  7348.50000
    168.16,        ____,  7302.00000
    168.65,        ____,  7238.70000
    169.14,        ____,  7251.40000
    169.63,        ____,  7220.60000
    170.12,        ____,  7182.00000
    170.61,        ____,  7173.80000
    171.10,        ____,  7226.50000
    171.59,        ____,  7202.60000
    172.08,        ____,  7194.60000
    172.57,        ____,  7161.40000
    173.06,        ____,  7120.70000
    173.55,        ____,  7106.00000
    174.04,        ____,  7093.90000
    174.53,        ____,  7084.50000
    175.02,        ____,  7074.70000
    175.50,        ____,  7101.10000
    175.99,        ____,  7113.80000
    176.48,        ____,  7129.70000
    176.97,        ____,  7090.20000
    177.46,        ____,  7078.50000
    177.95,        ____,  7018.30000
    178.44,        ____,  6994.90000
    178.93,        ____,  6972.70000
    179.42,        ____,  6985.90000
    179.91,        ____,  7014.80000
    180.40,        ____,  7032.60000
    180.89,        ____,  7039.00000
    181.38,        ____,  7057.70000
    181.87,        ____,  7096.50000
    182.36,        ____,  7135.70000
    182.85,        ____,  7162.20000
    183.34,        ____,  7194.50000
    183.83,        ____,  7188.60000
    184.32,        ____,  7156.70000
    184.81,        ____,  7172.70000
    185.29,        ____,  7130.20000
    185.78,        ____,  7084.30000
    186.27,        ____,  7085.40000
    186.76,        ____,  7066.50000
    187.25,        ____,  7018.00000
    187.74,        ____,  7089.20000
    188.23,        ____,  7091.50000
    188.72,        ____,  7111.40000
    189.21,        ____,  7130.80000
    189.70,        ____,  7129.80000
    190.19,        ____,  7096.90000
    190.67,        ____,  7093.10000
    191.16,        ____,  7095.90000
    191.65,        ____,  7090.50000
    192.14,        ____,  7098.30000
    192.63,        ____,  7159.70000
    193.12,        ____,  7170.10000
    193.61,        ____,  7155.90000
    194.10,        ____,  7207.70000
    194.59,        ____,  7186.10000
