2D Measure spectrum data V5.74

<< MEASURE 1 >>
Data count = 2048
Exposure time = 30000 msec
Average = 10
Inspected time = 2021/06/16 15:05

Wave-dcm-1,Dark spec.  ,Spectrum
    108.17,        ____,  4433.50000
    108.66,        ____,  4416.00000
    109.15,        ____,  4396.60000
    109.65,        ____,  4368.60000
    110.14,        ____,  4327.10000
    110.63,        ____,  4305.30000
    111.13,        ____,  4301.30000
    111.62,        ____,  4271.10000
    112.11,        ____,  4273.50000
    112.60,        ____,  4288.60000
    113.10,        ____,  4269.30000
    113.59,        ____,  4299.40000
    114.08,        ____,  4332.60000
    114.58,        ____,  4324.50000
    115.07,        ____,  4360.10000
    115.56,        ____,  4359.50000
    116.06,        ____,  4336.50000
    116.55,        ____,  4337.80000
    117.04,        ____,  4341.10000
    117.53,        ____,  4334.80000
    118.03,        ____,  4378.90000
    118.52,        ____,  4402.70000
    119.01,        ____,  4415.80000
    119.51,        ____,  4537.60000
    120.00,        ____,  4670.90000
    120.49,        ____,  4757.80000
    120.98,        ____,  4797.00000
    121.48,        ____,  4773.90000
    121.97,        ____,  4719.70000
    122.46,        ____,  4771.80000
    122.95,        ____,  4864.80000
    123.45,        ____,  4958.00000
    123.94,        ____,  5009.60000
    124.43,        ____,  5086.80000
    124.92,        ____,  5162.10000
    125.42,        ____,  5190.60000
    125.91,        ____,  5260.80000
    126.40,        ____,  5298.10000
    126.89,        ____,  5328.80000
    127.39,        ____,  5371.40000
    127.88,        ____,  5415.10000
    128.37,        ____,  5447.70000
    128.86,        ____,  5525.70000
    129.35,        ____,  5573.70000
    129.85,        ____,  5630.90000
    130.34,        ____,  5664.50000
    130.83,        ____,  5722.50000
    131.32,        ____,  5774.50000
    131.81,        ____,  5819.00000
    132.31,        ____,  5847.60000
    132.80,        ____,  5860.80000
    133.29,        ____,  5863.00000
    133.78,        ____,  5916.20000
    134.27,        ____,  5984.40000
    134.77,        ____,  6059.80000
    135.26,        ____,  6146.00000
    135.75,        ____,  6188.00000
    136.24,        ____,  6243.00000
    136.73,        ____,  6262.20000
    137.23,        ____,  6319.80000
    137.72,        ____,  6342.60000
    138.21,        ____,  6364.60000
    138.70,        ____,  6363.40000
    139.19,        ____,  6402.20000
    139.68,        ____,  6404.30000
    140.18,        ____,  6437.00000
    140.67,        ____,  6477.70000
    141.16,        ____,  6535.90000
    141.65,        ____,  6577.40000
    142.14,        ____,  6599.90000
    142.63,        ____,  6653.20000
    143.13,        ____,  6664.30000
    143.62,        ____,  6718.40000
    144.11,        ____,  6744.00000
    144.60,        ____,  6731.00000
    145.09,        ____,  6723.80000
    145.58,        ____,  6811.10000
    146.07,        ____,  6864.70000
    146.56,        ____,  6925.10000
    147.06,        ____,  6986.30000
    147.55,        ____,  7023.90000
    148.04,        ____,  7031.50000
    148.53,        ____,  7099.60000
    149.02,        ____,  7111.20000
    149.51,        ____,  7203.30000
    150.00,        ____,  7270.70000
    150.49,        ____,  7295.40000
    150.99,        ____,  7306.50000
    151.48,        ____,  7304.40000
    151.97,        ____,  7275.00000
    152.46,        ____,  7342.00000
    152.95,        ____,  7353.20000
    153.44,        ____,  7385.60000
    153.93,        ____,  7440.80000
    154.42,        ____,  7484.50000
    154.91,        ____,  7480.10000
    155.40,        ____,  7480.00000
    155.89,        ____,  7443.30000
    156.39,        ____,  7437.80000
    156.88,        ____,  7402.90000
    157.37,        ____,  7406.90000
    157.86,        ____,  7422.00000
    158.35,        ____,  7488.90000
    158.84,        ____,  7556.60000
    159.33,        ____,  7651.10000
    159.82,        ____,  7702.20000
    160.31,        ____,  7732.60000
    160.80,        ____,  7756.80000
    161.29,        ____,  7696.90000
    161.78,        ____,  7643.90000
    162.27,        ____,  7593.10000
    162.76,        ____,  7590.70000
    163.25,        ____,  7610.70000
    163.74,        ____,  7646.20000
    164.23,        ____,  7652.70000
    164.72,        ____,  7702.30000
    165.21,        ____,  7686.70000
    165.70,        ____,  7670.80000
    166.20,        ____,  7697.70000
    166.69,        ____,  7700.90000
    167.18,        ____,  7703.10000
    167.67,        ____,  7709.70000
    168.16,        ____,  7661.00000
    168.65,        ____,  7576.20000
    169.14,        ____,  7560.00000
    169.63,        ____,  7522.70000
    170.12,        ____,  7494.60000
    170.61,        ____,  7476.20000
    171.10,        ____,  7503.80000
    171.59,        ____,  7469.90000
    172.08,        ____,  7448.90000
    172.57,        ____,  7429.30000
    173.06,        ____,  7409.50000
    173.55,        ____,  7388.40000
    174.04,        ____,  7367.40000
    174.53,        ____,  7339.00000
    175.02,        ____,  7313.10000
    175.50,        ____,  7332.70000
    175.99,        ____,  7338.90000
    176.48,        ____,  7355.90000
    176.97,        ____,  7323.00000
    177.46,        ____,  7308.40000
    177.95,        ____,  7254.80000
    178.44,        ____,  7239.00000
    178.93,        ____,  7211.30000
    179.42,        ____,  7228.50000
    179.91,        ____,  7230.50000
    180.40,        ____,  7239.70000
    180.89,        ____,  7253.60000
    181.38,        ____,  7263.00000
    181.87,        ____,  7289.10000
    182.36,        ____,  7321.10000
    182.85,        ____,  7320.60000
    183.34,        ____,  7366.90000
    183.83,        ____,  7391.70000
    184.32,        ____,  7378.60000
    184.81,        ____,  7411.00000
    185.29,        ____,  7376.80000
    185.78,        ____,  7324.90000
    186.27,        ____,  7307.50000
    186.76,        ____,  7271.90000
    187.25,        ____,  7217.20000
    187.74,        ____,  7287.20000
    188.23,        ____,  7311.50000
    188.72,        ____,  7352.40000
    189.21,        ____,  7377.60000
    189.70,        ____,  7377.70000
    190.19,        ____,  7346.80000
    190.67,        ____,  7348.80000
    191.16,        ____,  7360.00000
    191.65,        ____,  7357.80000
    192.14,        ____,  7379.80000
    192.63,        ____,  7443.50000
    193.12,        ____,  7458.70000
    193.61,        ____,  7451.10000
    194.10,        ____,  7498.10000
    194.59,        ____,  7478.70000
    195.07,        ____,  7459.50000
    195.56,        ____,  7456.70000
    196.05,        ____,  7378.80000
    196.54,        ____,  7308.80000
    197.03,        ____,  7315.30000
    197.52,        ____,  7328.60000
    198.01,        ____,  7296.40000
    198.49,        ____,  7272.70000
    198.98,        ____,  7223.90000
    199.47,        ____,  7123.10000
    199.96,        ____,  7097.80000
    200.45,        ____,  7107.90000
    200.94,        ____,  7079.40000
    201.43,        ____,  7084.50000
    201.91,        ____,  7070.40000
    202.40,        ____,  7017.90000
    202.89,        ____,  6975.70000
    203.38,        ____,  6965.00000
    203.87,        ____,  6925.20000
    204.36,        ____,  6903.50000
    204.84,        ____,  6924.30000
    205.33,        ____,  6955.00000
    205.82,        ____,  6961.00000
    206.31,        ____,  6965.30000
    206.80,        ____,  6958.40000
    207.28,        ____,  6964.40000
    207.77,        ____,  6975.70000
    208.26,        ____,  6983.70000
    208.75,        ____,  6973.50000
