Date	2020年11月24日火曜日 05時18分51秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	200
ｽﾑｰｼﾞﾝｸﾞ	5
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	200.000
保存終了波長[nm]	800.000
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
200.047	0.268365
200.422	0.293524
200.796	0.279941
201.171	0.298517
201.546	0.332033
201.921	0.349222
202.296	0.363285
202.671	0.357386
203.045	0.377638
203.420	0.375486
203.795	0.366419
204.170	0.366470
204.544	0.371964
204.919	0.397646
205.294	0.396120
205.668	0.388121
206.043	0.389912
206.417	0.384974
206.792	0.378688
207.166	0.369210
207.541	0.366291
207.915	0.385475
208.289	0.411244
208.664	0.415010
209.038	0.396611
209.412	0.387300
209.787	0.392283
210.161	0.391843
210.535	0.416425
210.909	0.418855
211.284	0.423309
211.658	0.446099
212.032	0.440847
212.406	0.431885
212.780	0.417354
213.154	0.432816
213.528	0.427976
213.902	0.427405
214.276	0.422320
214.650	0.423514
215.024	0.414657
215.398	0.385124
215.772	0.375156
216.145	0.377944
216.519	0.375089
216.893	0.377144
217.267	0.369000
217.640	0.380720
218.014	0.364177
218.388	0.361877
218.761	0.345241
219.135	0.341660
219.508	0.343118
219.882	0.346080
220.256	0.345427
220.629	0.347365
221.003	0.378411
221.376	0.394984
221.749	0.406515
222.123	0.445131
222.496	0.438401
222.869	0.441133
223.243	0.461871
223.616	0.475278
223.989	0.484146
224.362	0.483593
224.736	0.490792
225.109	0.481771
225.482	0.475963
225.855	0.460132
226.228	0.437775
226.601	0.436542
226.974	0.437828
227.347	0.431308
227.720	0.438088
228.093	0.414804
228.466	0.404467
228.839	0.385333
229.212	0.364906
229.585	0.356513
229.957	0.343581
230.330	0.320949
230.703	0.335069
231.076	0.332934
231.448	0.342874
231.821	0.343289
232.194	0.345790
232.566	0.344238
232.939	0.348866
233.311	0.342657
233.684	0.351488
234.056	0.368584
234.429	0.401270
234.801	0.400819
235.174	0.410022
235.546	0.411668
235.918	0.421019
236.291	0.433333
236.663	0.442955
237.035	0.450746
237.408	0.459643
237.780	0.460858
238.152	0.456129
