Date	2021年06月15日火曜日 04時54分54秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-2.207063
192.166	-0.284369
192.542	-0.682390
192.917	0.000000
193.293	-0.529521
193.668	-0.597902
194.044	-1.120085
194.419	0.000000
194.794	-1.399508
195.170	-1.324868
195.545	-1.232066
195.920	-1.102685
196.296	-0.990783
196.671	-0.835465
197.046	-0.672702
197.421	-0.615480
197.796	-0.599065
198.171	-0.562229
198.546	-0.515323
198.922	-0.458756
199.297	-0.433478
199.672	-0.407647
200.047	-0.380709
200.422	-0.354052
200.796	-0.338967
201.171	-0.326512
201.546	-0.323990
201.921	-0.313968
202.296	-0.301147
202.671	-0.272726
203.045	-0.240463
203.420	-0.228112
203.795	-0.211785
204.170	-0.206486
204.544	-0.197376
204.919	-0.193912
205.294	-0.189907
205.668	-0.180232
206.043	-0.170852
206.417	-0.174261
206.792	-0.170251
207.166	-0.157704
207.541	-0.155115
207.915	-0.159710
208.289	-0.146023
208.664	-0.143816
209.038	-0.141295
209.412	-0.125826
209.787	-0.103515
210.161	-0.091097
210.535	-0.096640
210.909	-0.096578
211.284	-0.090627
211.658	-0.097825
212.032	-0.099580
212.406	-0.111749
212.780	-0.120922
213.154	-0.115115
213.528	-0.113080
213.902	-0.101260
214.276	-0.093637
214.650	-0.091074
215.024	-0.093620
215.398	-0.097789
215.772	-0.083585
216.145	-0.081927
216.519	-0.078750
216.893	-0.075599
217.267	-0.074851
217.640	-0.081980
218.014	-0.073106
218.388	-0.057834
218.761	-0.053301
219.135	-0.044172
219.508	-0.049408
219.882	-0.054992
220.256	-0.050453
220.629	-0.038618
221.003	-0.043734
221.376	-0.042651
221.749	-0.044816
222.123	-0.042488
222.496	-0.048447
222.869	-0.040983
223.243	-0.031708
223.616	-0.032075
223.989	-0.036981
224.362	-0.032655
224.736	-0.036624
225.109	-0.035951
