Date	2021年06月15日火曜日 04時45分16秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-2.610306
192.166	-0.452172
192.542	-0.868732
192.917	0.000000
193.293	-0.435287
193.668	-0.065458
194.044	-1.034595
194.419	0.000000
194.794	-1.317280
195.170	-1.243465
195.545	-1.150507
195.920	-1.021260
196.296	-0.902604
196.671	-0.748306
197.046	-0.594552
197.421	-0.550806
197.796	-0.554432
198.171	-0.523544
198.546	-0.478290
198.922	-0.434742
199.297	-0.414526
199.672	-0.402862
200.047	-0.383137
200.422	-0.362897
200.796	-0.352420
201.171	-0.335285
201.546	-0.339207
201.921	-0.334729
202.296	-0.321476
202.671	-0.295573
203.045	-0.267202
203.420	-0.263136
203.795	-0.245875
204.170	-0.239027
204.544	-0.232122
204.919	-0.230315
205.294	-0.224408
205.668	-0.209437
206.043	-0.195371
206.417	-0.202108
206.792	-0.193089
207.166	-0.190863
207.541	-0.183136
207.915	-0.188245
208.289	-0.167212
208.664	-0.169866
209.038	-0.166523
209.412	-0.147789
209.787	-0.128185
210.161	-0.114654
210.535	-0.119874
210.909	-0.116556
211.284	-0.110608
211.658	-0.116458
212.032	-0.120618
212.406	-0.127250
212.780	-0.127074
213.154	-0.122466
213.528	-0.125136
213.902	-0.122299
214.276	-0.114613
214.650	-0.114446
215.024	-0.098875
215.398	-0.095728
215.772	-0.089327
216.145	-0.088146
216.519	-0.079476
216.893	-0.081605
217.267	-0.080424
217.640	-0.088930
218.014	-0.082205
218.388	-0.071798
218.761	-0.074594
219.135	-0.059616
219.508	-0.059677
219.882	-0.061074
220.256	-0.052972
220.629	-0.046097
221.003	-0.046250
221.376	-0.045838
221.749	-0.048568
222.123	-0.046507
222.496	-0.042605
222.869	-0.044886
223.243	-0.039427
223.616	-0.037644
223.989	-0.039783
224.362	-0.035832
224.736	-0.034327
225.109	-0.040325
