Date	2021年06月15日火曜日 05時25分48秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-1.995594
192.166	-0.483021
192.542	-0.672843
192.917	0.000000
193.293	-0.342820
193.668	-0.376552
194.044	-1.003627
194.419	0.000000
194.794	-1.342045
195.170	-1.267707
195.545	-1.182996
195.920	-1.058614
196.296	-0.944816
196.671	-0.786205
197.046	-0.639330
197.421	-0.589956
197.796	-0.593313
198.171	-0.558564
198.546	-0.510153
198.922	-0.456331
199.297	-0.440047
199.672	-0.416148
200.047	-0.391580
200.422	-0.364951
200.796	-0.350119
201.171	-0.337212
201.546	-0.340522
201.921	-0.324262
202.296	-0.320036
202.671	-0.295535
203.045	-0.267140
203.420	-0.254131
203.795	-0.238904
204.170	-0.230591
204.544	-0.231630
204.919	-0.228792
205.294	-0.227626
205.668	-0.202944
206.043	-0.193425
206.417	-0.200853
206.792	-0.190952
207.166	-0.182566
207.541	-0.169930
207.915	-0.177521
208.289	-0.157936
208.664	-0.155642
209.038	-0.156698
209.412	-0.142918
209.787	-0.131083
210.161	-0.114227
210.535	-0.115189
210.909	-0.109304
211.284	-0.102086
211.658	-0.114223
212.032	-0.112651
212.406	-0.115050
212.780	-0.115056
213.154	-0.103049
213.528	-0.109349
213.902	-0.104623
214.276	-0.087577
214.650	-0.093608
215.024	-0.094537
215.398	-0.097017
215.772	-0.087203
216.145	-0.090272
216.519	-0.080952
216.893	-0.074845
217.267	-0.072210
217.640	-0.078050
218.014	-0.073967
218.388	-0.060030
218.761	-0.068389
219.135	-0.062509
219.508	-0.054800
219.882	-0.054310
220.256	-0.046187
220.629	-0.044900
221.003	-0.056670
221.376	-0.058240
221.749	-0.056853
222.123	-0.070855
222.496	-0.070949
222.869	-0.063916
223.243	-0.065457
223.616	-0.064347
223.989	-0.072771
224.362	-0.071376
224.736	-0.071730
225.109	-0.066923
