Date	2021年06月15日火曜日 04時35分52秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-2.478822
192.166	-0.629441
192.542	-0.656609
192.917	0.000000
193.293	-0.489626
193.668	-0.488245
194.044	-1.117509
194.419	0.000000
194.794	-1.410743
195.170	-1.315311
195.545	-1.216170
195.920	-1.084449
196.296	-0.964319
196.671	-0.809932
197.046	-0.661480
197.421	-0.609448
197.796	-0.602524
198.171	-0.566843
198.546	-0.520580
198.922	-0.474329
199.297	-0.451015
199.672	-0.425143
200.047	-0.407488
200.422	-0.374492
200.796	-0.365512
201.171	-0.339455
201.546	-0.331490
201.921	-0.324649
202.296	-0.320121
202.671	-0.296277
203.045	-0.274756
203.420	-0.264366
203.795	-0.255019
204.170	-0.252721
204.544	-0.249980
204.919	-0.249170
205.294	-0.244404
205.668	-0.231680
206.043	-0.219828
206.417	-0.228375
206.792	-0.216618
207.166	-0.210927
207.541	-0.205322
207.915	-0.208304
208.289	-0.197878
208.664	-0.196413
209.038	-0.195645
209.412	-0.181740
209.787	-0.168525
210.161	-0.151126
210.535	-0.151504
210.909	-0.141354
211.284	-0.138688
211.658	-0.137859
212.032	-0.130874
212.406	-0.138071
212.780	-0.135135
213.154	-0.141986
213.528	-0.144576
213.902	-0.141713
214.276	-0.128434
214.650	-0.130828
215.024	-0.123978
215.398	-0.124556
215.772	-0.116410
216.145	-0.121427
216.519	-0.116309
216.893	-0.114796
217.267	-0.125926
217.640	-0.122559
218.014	-0.113566
218.388	-0.107099
218.761	-0.111733
219.135	-0.096610
219.508	-0.101859
219.882	-0.109418
220.256	-0.108204
220.629	-0.103724
221.003	-0.098536
221.376	-0.096360
221.749	-0.097545
222.123	-0.102017
222.496	-0.103526
222.869	-0.104155
223.243	-0.096053
223.616	-0.092635
223.989	-0.094714
224.362	-0.094889
224.736	-0.099414
225.109	-0.094352
