Date	2021年06月15日火曜日 04時28分11秒
Spectrometers	USB2+H05879
ダーク	使用
リファレンス	使用
積分時間[msec]	10
平均回数	280
ｽﾑｰｼﾞﾝｸﾞ	10
Electrical Dark	USE
ピクセル数	2048
計測モード	吸光度
保存開始波長[nm]	190.664
保存終了波長[nm]	884.878
保存ﾋﾟｯﾁ波長[nm]	全波長

>>>>>>>>>> Data Start <<<<<<<<<<<<
190.664	0.000000
191.040	0.000000
191.415	0.000000
191.791	-2.578799
192.166	-0.628340
192.542	-0.762557
192.917	0.000000
193.293	-0.603173
193.668	-0.217638
194.044	-1.045891
194.419	0.000000
194.794	-1.384477
195.170	-1.302554
195.545	-1.218909
195.920	-1.090003
196.296	-0.970005
196.671	-0.811189
197.046	-0.655479
197.421	-0.599042
197.796	-0.598417
198.171	-0.557664
198.546	-0.514730
198.922	-0.459097
199.297	-0.439067
199.672	-0.415524
200.047	-0.397960
200.422	-0.376814
200.796	-0.366253
201.171	-0.355787
201.546	-0.346649
201.921	-0.333354
202.296	-0.325318
202.671	-0.302128
203.045	-0.273443
203.420	-0.250306
203.795	-0.230624
204.170	-0.223099
204.544	-0.223004
204.919	-0.224413
205.294	-0.221057
205.668	-0.200564
206.043	-0.189537
206.417	-0.197385
206.792	-0.194602
207.166	-0.190456
207.541	-0.191909
207.915	-0.197919
208.289	-0.182373
208.664	-0.176617
209.038	-0.172259
209.412	-0.160479
209.787	-0.145379
210.161	-0.133546
210.535	-0.135895
210.909	-0.128842
211.284	-0.128518
211.658	-0.138641
212.032	-0.139822
212.406	-0.141698
212.780	-0.139623
213.154	-0.142141
213.528	-0.149194
213.902	-0.147991
214.276	-0.132855
214.650	-0.134892
215.024	-0.128373
215.398	-0.118507
215.772	-0.102382
216.145	-0.105132
216.519	-0.095125
216.893	-0.091677
217.267	-0.103647
217.640	-0.105170
218.014	-0.092106
218.388	-0.091610
218.761	-0.100285
219.135	-0.092588
219.508	-0.092653
219.882	-0.098638
220.256	-0.094601
220.629	-0.084808
221.003	-0.083149
221.376	-0.081206
221.749	-0.089171
222.123	-0.096512
222.496	-0.097681
222.869	-0.090341
223.243	-0.086896
223.616	-0.085791
223.989	-0.090149
224.362	-0.091364
224.736	-0.092164
225.109	-0.089325
